"","time","S","I","R","Total"
"1",1,99.9999,1e-04,0,1e-04
"2",2,99.9998667895495,0.000122140287418544,1.10701630725326e-05,0.000133210450491077
"3",3,99.9998262262537,0.000149182463880894,2.45912824352643e-05,0.000173773746316159
"4",4,99.9997766822307,0.000182211779721197,4.11059895404294e-05,0.000223317769261626
"5",5,99.9997161689639,0.000222553906477937,6.12771296454312e-05,0.000283831036123368
"6",6,99.9996422581898,0.000271827676834594,8.59141333740205e-05,0.000357741810208615
"7",7,99.9995519834681,0.000332010703416043,0.000116005828518453,0.000448016531934496
"8",8,99.9994417218426,0.000405518268797462,0.000152759888608334,0.000558278157405795
"9",9,99.9993070483769,0.000495300298414951,0.000197651324700593,0.000692951623115544
"10",10,99.9991425581171,0.000604960046505405,0.000252481836359234,0.000857441882864639
"11",11,99.9989416508644,0.000738897573464692,0.000319451562093022,0.00105834913555771
"12",12,99.9986962632793,0.000902488330790522,0.000401248389874614,0.00130373672066514
"13",13,99.9983965478981,0.00110229713263817,0.000501154969219806,0.00160345210185798
"14",14,99.998030477792,0.0013463416900102,0.000623180517961408,0.00196952220797161
"15",15,99.9975833631651,0.00164441483925537,0.000772221995629442,0.00241663683488481
"16",16,99.9970372627583,0.00200847688071231,0.000954260360972915,0.00296273724168523
"17",17,99.9963702641856,0.00245313526675172,0.00117660054761073,0.00362973581436246
"18",18,99.9955556051616,0.00299623031919157,0.00144816451914642,0.004444394838338
"19",19,99.9945606006434,0.00365955027267741,0.00177984908389081,0.00543939935656822
"20",20,99.9933453326581,0.00446970443143808,0.00218496291042342,0.0066546673418615
"21",21,99.9918610507064,0.00545918913230689,0.00267976016130715,0.00813894929361404
"22",22,99.9900482189075,0.00666768899918235,0.00328409209324494,0.00995178109242729
"23",23,99.9878341320623,0.00814366526721619,0.00402220267046069,0.0121658679376769
"24",24,99.9851300058824,0.00994629418635279,0.00492369993118091,0.0148699941175337
"25",25,99.9818274259127,0.012147832254455,0.00602474183282772,0.0181725740872827
"26",26,99.9777940145918,0.0148365016331875,0.00736948377504287,0.0222059854082304
"27",27,99.9728681454959,0.0181200091986193,0.00901184530542832,0.0271318545040476
"28",28,99.9668524969969,0.0221298369650425,0.0110176660380991,0.0331475030031416
"29",29,99.9595061931344,0.0270264708612579,0.0134673360043682,0.0404938068656261
"30",30,99.950535225999,0.0330057699456819,0.0164590040553348,0.0494647740010167
"31",31,99.9395807896994,0.0403067201182801,0.0201124901822628,0.0604192103005428
"32",32,99.9262050792504,0.0492208662988051,0.0245740544508115,0.0737949207496165
"33",33,99.9098740164908,0.0601037759989599,0.0300222075102126,0.0901259835091724
"34",34,99.8899362574495,0.0733889562551109,0.036674786295317,0.110063742550428
"35",35,99.8655977095492,0.0896047258116444,0.0447975646391127,0.134402290450757
"36",36,99.8358906412744,0.109394635560082,0.0547147231654527,0.164109358725535
