"","time","S","I","R","Total"
"1",1,99.9999,1e-04,0,1e-04
"2",2,99.9998667895515,0.000122140285456903,1.10701630110502e-05,0.000133210448467953
"3",3,99.9998262262645,0.000149182453606077,2.4591281833816e-05,0.000173773735439893
"4",4,99.9997766822636,0.000182211749363257,4.11059870350545e-05,0.000223317736398311
"5",5,99.9997161690422,0.000222553835441304,6.12771222906315e-05,0.000283830957731936
"6",6,99.9996422583541,0.000271827530394298,8.59141155154998e-05,0.000357741645909797
"7",7,99.9995519837855,0.000332010424485122,0.000116005789986329,0.00044801621447145
"8",8,99.9994417224227,0.000405517765364231,0.000152759811913623,0.000558277577277854
"9",9,99.9993070493951,0.000495299424292659,0.000197651180641742,0.000692950604934401
"10",10,99.9991425598508,0.000604958571983224,0.000252481577219341,0.000857440149202564
"11",11,99.9989416537476,0.000738895141073543,0.000319451111277683,0.00105834625235123
"12",12,99.9986962679861,0.000902484387913147,0.000401247625942283,0.00130373201385543
"13",13,99.9983965554681,0.00110229083020413,0.000501153701666633,0.00160344453187077
"14",14,99.9980304898197,0.00134633172982371,0.000623178450479937,0.00196951018030365
"15",15,99.9975833820853,0.00164439924426238,0.000772218670461023,0.0024166179147234
"16",16,99.997037292275,0.00200845265005925,0.000954255074947424,0.00296270772500667
"17",17,99.9963703099161,0.00245309785825904,0.00117659222563124,0.00362969008389027
"18",18,99.9955556756025,0.00299617287364435,0.00144815152386953,0.00444432439751388
"19",19,99.9945607086181,0.00365946245209456,0.00177982892983,0.00543929138192456
"20",20,99.9933454974847,0.00446957068035735,0.00218493183495007,0.00665450251530741
"21",21,99.9918613014414,0.00545898607703451,0.00267971248154925,0.00813869855858375
"22",22,99.9900485991976,0.00666738155955379,0.00328401924282223,0.00995140080237602
"23",23,99.9878347073963,0.00814320084600089,0.00402209175767008,0.012165292603671
"24",24,99.9851308744286,0.00994559398919011,0.00492353158218527,0.0148691255713754
"25",25,99.9818287347053,0.0121467783277048,0.00602448696695584,0.0181712652946607
"26",26,99.977795983701,0.0148349175133045,0.00736909878565434,0.0222040162989589
"27",27,99.9728711041061,0.0181176310330054,0.00901126486089489,0.0271288958939003
"28",28,99.9668569372436,0.0221262704248449,0.0110167923315622,0.0331430627564071
"29",29,99.9595128504193,0.0270211268747397,0.0134660227059513,0.040487149580691
"30",30,99.9505451987652,0.0329977688706954,0.0164570323640863,0.0494548012347817
"31",31,99.9395957179983,0.0402947489015912,0.0201095331001046,0.0604042820016957
"32",32,99.9262274108609,0.0492029656355718,0.0245696235035572,0.0737725891391289
"33",33,99.9099074033596,0.0600770233209707,0.0300155733194484,0.0900925966404191
"34",34,99.8899861459955,0.0733489937917829,0.0366648602127133,0.110013854004496
"35",35,99.8656722191586,0.0895450584102685,0.0447827224311315,0.1343277808414
"36",36,99.8360018708424,0.109305586650143,0.0546925425074941,0.163998129157637
"37",37,99.799802270522,0.133409292470974,0.066788437007051,0.200197729478025
"38",38,99.7556473097974,0.162802194494371,0.081550495708224,0.244352690202595
"39",39,99.7018046268221,0.198632183009546,0.0995631901683353,0.298195373177881
"40",40,99.6361723927083,0.242290052333615,0.121537554958062,0.363827607291677
"41",41,99.55620429884,0.295457869367106,0.148337831792942,0.443795701160048
"42",42,99.458821163352,0.360165485163348,0.181013351484699,0.541178836648047
"43",43,99.3403076921419,0.438855806718591,0.220836501139507,0.659692307858099
"44",44,99.1961932716764,0.534459059884236,0.269347668439368,0.803806728323604
"45",45,99.0211163614836,0.650475591741473,0.328408046774939,0.978883638516412
"46",46,98.8086732641427,0.791065647439904,0.40026108841744,1.19132673585734
"47",47,98.5512540048741,0.961142838730785,0.487603156395161,1.44874599512595
"48",48,98.2398710324456,1.16646548896681,0.593663478587626,1.76012896755443
"49",49,97.8639907808539,1.41371646230322,0.722292756842924,2.13600921914614
"50",50,97.4113841280639,1.71055725749796,0.878058614438133,2.5886158719361
"51",51,96.8680196782561,2.06563597594692,1.06634434579695,3.13198032174387
"52",52,96.2180335321092,2.4885214335518,1.29344503433905,3.78196646789084
"53",53,95.4438202031949,2.98952785748706,1.56665193931809,4.55617979680515
"54",54,94.5263000599551,3.57938780133301,1.89431213871189,5.4736999400449
"55",55,93.4454262092785,4.26872781278157,2.28584597793994,6.5545737907215
"56",56,92.1809934408288,5.06730608254527,2.75170047662592,7.81900655917119
"57",57,90.7137974163972,5.98298906026253,3.30321352334028,9.28620258360281
"58",58,89.0271567773364,7.0204802004951,3.95236302216855,10.9728432226636
"59",59,87.1087491958643,8.17987163223336,4.71137917190238,12.8912508041357
"60",60,84.9526255980491,9.45516558123331,5.59220882071764,15.0473744019509
"61",61,82.5611667728167,10.8329936006856,6.60583962649772,17.4388332271833
"62",62,79.9466592667754,12.2918228133815,7.7615179198431,20.0533407332246
"63",63,77.1321299077282,13.8019460245809,9.06592406769091,22.8678700922718
"64",64,74.1511268569869,15.3264772989078,10.5223958441053,25.8488731430131
"65",65,71.0462861113099,16.8234089896942,12.1303048989959,28.9537138886901
"66",66,67.8667543830141,18.2485596568587,13.8846859601272,32.133245616986
"67",67,64.6647901183243,19.5590200495066,15.776189832169,35.3352098816757
"68",68,61.4920516362377,20.7165644101881,17.7913839535742,38.5079483637623
"69",69,58.3961392045253,21.690491219291,19.9133695761837,41.6038607954747
"70",70,55.4178695158576,22.4594936216501,22.1226368624924,44.5821304841424
"71",71,52.589565587453,23.0123843231012,24.3980500894458,47.410434412547
"72",72,49.9344153330266,23.3477349877176,26.7178496792557,50.0655846669734
"73",73,47.4667587658086,23.4726678832805,29.0605733509109,52.5332412341914
"74",74,45.1930487302591,23.4011237454993,31.4058275242416,54.8069512697409
"75",75,43.1131988668014,23.1519281252898,33.7348730079088,56.8868011331986
"76",76,41.2220647944945,22.7469167327618,36.0310184727438,58.7779352055056
"77",77,39.5108701789219,22.2092928402759,38.2798369808022,60.4891298210781
"78",78,37.9684618433472,21.5623043620369,40.4692337946158,62.0315381566528
"79",79,36.582340426562,20.8282606646494,42.5893989087887,63.4176595734381
"80",80,35.3394581593825,20.0278645042829,44.6326773363346,64.6605418406175
"81",81,34.2268029408617,19.1798106825815,46.5933863765567,65.7731970591383
"82",82,33.2318014255831,18.300594842426,48.4676037319909,66.768198574417
"83",83,32.3425776641331,17.4044776270908,50.2529447087761,67.657422335867
"84",84,31.5481014268025,16.5035571292154,51.9483414439821,68.4518985731976
"85",85,30.8382583478111,15.6079079582945,53.5538336938944,69.1617416521889
"86",86,30.2038618201921,14.7257633688664,55.0703748109415,69.7961381798079
"87",87,29.6366292818192,13.8637130561801,56.4996576620007,70.3633707181808
"88",88,29.1291344233424,13.0269053618456,57.843960214812,70.8708655766576
"89",89,28.6747472140027,12.2192414127051,59.1060113732922,71.3252527859973
"90",90,28.2675672011846,11.4435573128759,60.2888754859395,71.7324327988154
"91",91,27.9023554654702,10.7017902988635,61.3958542356663,72.0976445345298
"92",92,27.5744681325908,9.99512749595009,62.4304043714591,72.4255318674092
"93",93,27.2797934043562,9.32413721492149,63.3960693807223,72.7202065956438
"94",94,27.0146930625351,8.6888834535556,64.2964234839093,72.9853069374649
"95",95,26.7759489670872,8.08902476701398,65.1350262658988,73.2240510329128
"96",96,26.5607146368888,7.52389888662244,65.9153864764887,73.4392853631111
"97",97,26.3664717918554,6.99259456780532,66.6409336403393,73.6335282081446
"98",98,26.1909915882192,6.494012136781,67.3149962749998,73.8090084117808
"99",99,26.0323002034324,6.02691413927872,67.9407856572889,73.9676997965676
"100",100,25.8886483929254,5.5899673927176,68.521384214357,74.1113516070745
"101",101,25.7584846344111,5.18177762559671,69.0597377399922,74.2415153655889
"102",102,25.6404314862771,4.80091776479903,69.5586507489239,74.3595685137228
"103",103,25.5332648075548,4.44595081054052,70.0207843819047,74.4667351924452
"104",104,25.4358955134237,4.11544812407369,70.4486563625026,74.5641044865763
"105",105,25.3473535690004,3.80800384731529,70.8446425836843,74.6526464309996
"106",106,25.2667739532938,3.52224607741543,71.2109799692907,74.7332260467062
"107",107,25.1933843534261,3.25684533315413,71.5497703134197,74.8066156465738
"108",108,25.1264943757919,3.01052077368638,71.8629848505217,74.8735056242081
"109",109,25.0654860853734,2.78204456299229,72.1524693516343,74.9345139146265
"110",110,25.0098057067854,2.57024471469971,72.4199495785149,74.9901942932146
"111",111,24.9589563407713,2.37400670094085,72.6670369582878,75.0410436592286
"112",112,24.9124915678948,2.1922740647791,72.8952343673261,75.0875084321052
"113",113,24.8700098271827,2.02404823772222,73.1059419350951,75.1299901728172
"114",114,24.8311494716434,1.86838773119593,73.3004627971607,75.1688505283566
"115",115,24.7955844150605,1.72440684291788,73.4800087420216,75.2044155849394
"116",116,24.7630202954271,1.5912739952813,73.6457057092916,75.2369797045729
"117",117,24.7331910899809,1.46820980258593,73.7985991074331,75.266808910019
"118",118,24.7058561252022,1.35448494676015,73.9396589280377,75.2941438747978
"119",119,24.6807974324527,1.24941792667616,74.0697846408711,75.3192025675473
"120",120,24.657817406326,1.15237273389724,74.1898098597767,75.342182593674
"121",121,24.6367367283291,1.06275649738581,74.3005067742851,75.3632632716709
"122",122,24.6173925233521,0.980017131060675,74.4025903455872,75.3826074766478
"123",123,24.5996367205819,0.903641010874792,74.4967222685434,75.4003632794181
"124",124,24.583334594161,0.833150702079474,74.5835147037595,75.4166654058389
"125",125,24.5683634620651,0.768102752363731,74.6635337855711,75.4316365379348
"126",126,24.5546115244164,0.708085562451005,74.7373029131326,75.4453884755835
"127",127,24.5419768248419,0.652717342364921,74.8053058327932,75.4580231751581
"128",128,24.5303663205532,0.601644158825225,74.8679895206216,75.4696336794468
"129",129,24.5196950486262,0.554538077005894,74.9257668743679,75.4803049513737
"130",130,24.5098853775173,0.511095398095359,74.9790192243873,75.4901146224826
"131",131,24.500866334213,0.471034992672154,75.0280986731148,75.4991336657869
"132",132,24.4925729986003,0.434096728773312,75.0733302726264,75.5074270013997
"133",133,24.484945957557,0.400039992734821,75.1150140497082,75.515054042443
"134",134,24.4779308125026,0.368642300077538,75.1534268874198,75.5220691874973
"135",135,24.4714777344753,0.339697993375348,75.1888242721494,75.5285222655247
"136",136,24.4655410615723,0.313017023606405,75.2214419148212,75.5344589384276
"137",137,24.4600789345822,0.288423811300434,75.2514972541173,75.5399210654177
"138",138,24.455052966712,0.265756183631839,75.2791908496562,75.544947033288
"139",139,24.4504279439182,0.244864383551514,75.3047076725303,75.5495720560818
"140",140,24.4461715527553,0.22561014704971,75.328218300195,75.5538284472446
"141",141,24.4422541329882,0.207865844682628,75.3498800223292,75.5577458670117
"142",142,24.4386484525211,0.191513683575197,75.3698378639037,75.5613515474788
"143",143,24.4353295024614,0.176444966218765,75.3882255313198,75.5646704975386
"144",144,24.4322743103722,0.162559402509346,75.4051662871184,75.5677256896277
"145",145,24.4294617699742,0.149764471613419,75.4207737584124,75.5705382300258
"146",146,24.4268724857403,0.137974830399221,75.4351526838605,75.5731275142596
"147",147,24.4244886309895,0.127111765328333,75.4483996036821,75.5755113690104
"148",148,24.4222938182264,0.117102684861811,75.4606034969118,75.5777061817736
"149",149,24.4202729806032,0.107880649594926,75.4718463698019,75.5797270193968
"150",150,24.418412263491,0.0993839374925643,75.4822037990164,75.581587736509
"151",151,24.4166989252488,0.0915556417522703,75.4917454329989,75.5833010747511
"152",152,24.4151212463669,0.0843432989723812,75.5005354546607,75.5848787536331
"153",153,24.4136684462414,0.0776985454481013,75.5086330083105,75.5863315537586
"154",154,24.4123306069083,0.0715767995579314,75.5160925935338,75.5876693930917
"155",155,24.4110986031278,0.0659369683362902,75.5229644285359,75.5889013968721
"156",156,24.4099640382678,0.0607411764551717,75.529294785277,75.5900359617322
"157",157,24.4089191854854,0.0559545159581631,75.5351262985564,75.5910808145146
"158",158,24.407956933753,0.051544815204098,75.5404982510429,75.5920430662469
"159",159,24.4070707383156,0.0474824255851003,75.5454468360993,75.5929292616844
"160",160,24.4062545752022,0.0437400246849209,75.5500054001129,75.5937454247977
"161",161,24.4055028994517,0.0402924346384558,75.5542046659099,75.5944971005483
"162",162,24.4048106067383,0.0371164545423779,75.5580729387193,75.5951893932616
