"","time","S","I","R","Total","Diff_S","Diff_I","Diff_R","Diff_Total"
"1",1,99.9999,1e-04,0,1e-04,0,0,0,0
"2",2,99.9998667895939,0.000122140244891216,1.10701611720922e-05,0.000133210406063308,-4.44089209850063e-11,4.25273285825038e-11,1.90044037805097e-12,4.44277689182031e-11
"3",3,99.9998262263837,0.000149182343547483,2.45912727632206e-05,0.000173773616310704,-1.29986688079953e-10,1.20333411231287e-10,9.67204365304674e-12,1.30005454941932e-10
"4",4,99.9997766825136,0.000182211524657023,4.11059616877106e-05,0.000223317486344734,-2.82867063106096e-10,2.55064173829232e-10,2.78527188360173e-11,2.82916892766893e-10
"5",5,99.9997161695077,0.000222553426303706,6.12770659635988e-05,0.000283830492267304,-5.43849409950781e-10,4.80174231458222e-10,6.36818323632637e-11,5.43856063862144e-10
"6",6,99.9996422591654,0.000271826829777472,8.59140047994405e-05,0.000357740834576912,-9.75646230472194e-10,8.47057122306451e-10,1.28574579951499e-10,9.75631702325713e-10
"7",7,99.9995519851428,0.000332009269013003,0.000116005588121345,0.000448014857134348,-1.6747918607507e-09,1.43440303986822e-09,2.40397108415471e-10,1.6748001483379e-09
"8",8,99.9994417246312,0.000405515906928118,0.000152759461870581,0.000558275368798699,-2.78859602076409e-09,2.36186934338698e-09,4.26737753044405e-10,2.7886070965398e-09
"9",9,99.999307052918,0.000495296487367188,0.000197650594643897,0.000692947082011085,-4.54109283509752e-09,3.81104776306807e-09,7.30056695652515e-10,4.54110445872059e-09
"10",10,99.9991425653894,0.000604953989622064,0.000252480620972229,0.000857434610594293,-7.27223437024804e-09,6.05688334047189e-09,1.21538700539317e-09,7.27227034591927e-09
"11",11,99.9989416623597,0.000738888059746357,0.0003194495804926,0.00105833764023896,-1.14953024876741e-08,9.51371833515704e-09,1.98160042189218e-09,1.1495318756995e-08
"12",12,99.9986962812649,0.000902473524227478,0.000401245210874846,0.00130371873510232,-1.79855703663634e-08,1.48065630434626e-08,3.1789997677464e-09,1.79855628114258e-08
"13",13,99.9983965758082,0.00110227425759335,0.000501149934219208,0.00160342419181255,-2.79100476063832e-08,2.28750448262247e-08,5.03500059874373e-09,2.79100454254021e-08
"14",14,99.9980305208152,0.00134630655970185,0.000623172625043344,0.0019694791847452,-4.30232063308722e-08,3.5130308351141e-08,7.89291806392589e-09,4.30232264150669e-08
"15",15,99.997583429125,0.00164436114955801,0.000772209725423403,0.00241657087498141,-6.59599095342855e-08,5.36896973607134e-08,1.22702060387225e-08,6.5959903399436e-08
"16",16,99.9970373634303,0.0020083951539732,0.000954241415670275,0.00296263656964347,-1.00672039593519e-07,8.17267391171016e-08,1.89453026401597e-08,1.00672041757587e-07
"17",17,99.9963704172677,0.00245301127241418,0.00117657145991618,0.00362958273233036,-1.53082027054552e-07,1.23994337547506e-07,2.90876945507543e-08,1.53082032097827e-07
"18",18,99.99555583722,0.00299604271312596,0.0014481200668115,0.00444416277993746,-2.32058383176081e-07,1.87606065610475e-07,4.44523349232492e-08,2.32058400533725e-07
"19",19,99.9945609515161,0.00365926707012865,0.00177978141376103,0.00543904848388968,-3.50872667809199e-07,2.83202548766615e-07,6.76701297839914e-08,3.50872678548872e-07
"20",20,99.9933458620326,0.00446927773883164,0.00218486022849967,0.00665413796733131,-5.2937451755497e-07,4.26692606444838e-07,1.02681923744991e-07,5.29374530187227e-07
