"","time","S","I","R","Total","Diff_S","Diff_I","Diff_R","Diff_Total"
"1",1,99.9999,1e-04,0,1e-04,0,0,0,0
"2",2,99.9998667895515,0.000122140285456903,1.10701630110502e-05,0.000133210448467953,-2.00373051484348e-12,1.96164129861662e-12,6.14824082487489e-14,2.02312372041789e-12
"3",3,99.9998262262645,0.000149182453606077,2.4591281833816e-05,0.000173773735439893,-1.08713038571295e-11,1.02748174822965e-11,6.01448304002458e-13,1.08762658167921e-11
"4",4,99.9997766822636,0.000182211749363257,4.11059870350545e-05,0.000223317736398311,-3.28412852468318e-11,3.03579400658636e-11,2.50537484774169e-12,3.28633150152493e-11
"5",5,99.9997161690422,0.000222553835441304,6.12771222906315e-05,0.000283830957731936,-7.83870746090543e-11,7.10366329290373e-11,7.35479964420176e-12,7.83914326681068e-11
"6",6,99.9996422583541,0.000271827530394298,8.59141155154998e-05,0.000357741645909797,-1.64320113071881e-10,1.46440296358314e-10,1.78585206789695e-11,1.64298817172809e-10
"7",7,99.9995519837855,0.000332010424485122,0.000116005789986329,0.00044801621447145,-3.17456283482898e-10,2.78930921437416e-10,3.85321243499565e-11,3.17463045760268e-10
"8",8,99.9994417224227,0.000405517765364231,0.000152759811913623,0.000558277577277854,-5.80129722038691e-10,5.03433230324667e-10,7.66947109390615e-11,5.80127941236623e-10
"9",9,99.9993070493951,0.000495299424292659,0.000197651180641742,0.000692950604934401,-1.01817931863479e-09,8.7412229212748e-10,1.44058850433523e-10,1.01818114280495e-09
"10",10,99.9991425598508,0.000604958571983224,0.000252481577219341,0.000857440149202564,-1.73363901012635e-09,1.47452218100461e-09,2.59139893083512e-10,1.73366207403391e-09
"11",11,99.9989416537476,0.000738895141073543,0.000319451111277683,0.00105834625235123,-2.88318346974847e-09,2.43239114939252e-09,4.50815338889649e-10,2.8832064884448e-09
"12",12,99.9986962679861,0.000902484387913147,0.000401247625942283,0.00130373201385543,-4.70680561193149e-09,3.94287737485663e-09,7.6393233080542e-10,4.70680970609573e-09
"13",13,99.9983965554681,0.00110229083020413,0.000501153701666633,0.00160344453187077,-7.56999440909567e-09,6.30243403906133e-09,1.26755317288348e-09,7.56998721237849e-09
"14",14,99.9980304898197,0.00134633172982371,0.000623178450479937,0.00196951018030365,-1.20276553161602e-08,9.96018649111405e-09,2.06748147096349e-09,1.20276679622944e-08
"15",15,99.9975833820853,0.00164439924426238,0.000772218670461023,0.0024166179147234,-1.89201756484181e-08,1.55949929855643e-08,3.32516841958144e-09,1.8920161405471e-08
"16",16,99.997037292275,0.00200845265005925,0.000954255074947424,0.00296270772500667,-2.95166842079198e-08,2.42306530669027e-08,5.28602549091425e-09,2.95166785579254e-08
"17",17,99.9963703099161,0.00245309785825904,0.00117659222563124,0.00362969008389027,-4.57304736301012e-08,3.74084926871993e-08,8.32197949570887e-09,4.57304721829081e-08
"18",18,99.9955556756025,0.00299617287364435,0.00144815152386953,0.00444432439751388,-7.04408336105189e-08,5.74455472279398e-08,1.29952768871365e-08,7.04408241146426e-08
"19",19,99.9945607086181,0.00365946245209456,0.00177982892983,0.00543929138192456,-1.07974670982003e-07,8.78205828535802e-08,2.015406080913e-08,1.0797464366271e-07
"20",20,99.9933454974847,0.00446957068035735,0.00218493183495007,0.00665450251530741,-1.64826573723076e-07,1.33751080738653e-07,3.10754733477865e-08,1.64826554084271e-07
"21",21,99.9918613014414,0.00545898607703451,0.00267971248154925,0.00813869855858375,-2.507350416181e-07,2.03055272387197e-07,4.76797579031588e-08,2.50735030290355e-07
"22",22,99.9900485991976,0.00666738155955379,0.00328401924282223,0.00995140080237602,-3.80290074986078e-07,3.07439628561591e-07,7.28504227121181e-08,3.80290051272408e-07
"23",23,99.9878347073963,0.00814320084600089,0.00402209175767008,0.012165292603671,-5.75334027530516e-07,4.64421215297384e-07,1.10912790609805e-07,5.75334005905453e-07
"24",24,99.9851308744286,0.00994559398919011,0.00492353158218527,0.0148691255713754,-8.68546166543638e-07,7.00197162684796e-07,1.68348995642324e-07,8.68546158326253e-07
"25",25,99.9818287347053,0.0121467783277048,0.00602448696695584,0.0181712652946607,-1.30879261917016e-06,1.05392675019828e-06,2.54865871880151e-07,1.30879262207062e-06
"26",26,99.977795983701,0.0148349175133045,0.00736909878565434,0.0222040162989589,-1.96910927741101e-06,1.5841198829445e-06,3.84989388534616e-07,1.96910927147478e-06
"27",27,99.9728711041061,0.0181176310330054,0.00901126486089489,0.0271288958939003,-2.95861015331411e-06,2.37816561384288e-06,5.80444533434393e-07,2.95861014728768e-06
"28",28,99.9668569372436,0.0221262704248449,0.0110167923315622,0.0331430627564071,-4.44024672674459e-06,3.56654019757069e-06,8.73706536907298e-07,4.44024673447452e-06
"29",29,99.9595128504193,0.0270211268747397,0.0134660227059513,0.040487149580691,-6.65728492776907e-06,5.34398651813942e-06,1.313298416971e-06,6.6572849351243e-06
"30",30,99.9505451987652,0.0329977688706954,0.0164570323640863,0.0494548012347817,-9.9727662359328e-06,8.00107498642039e-06,1.97169124849933e-06,9.97276623493359e-06
"31",31,99.9395957179983,0.0402947489015912,0.0201095331001046,0.0604042820016957,-1.49282988672894e-05,1.19712166889094e-05,2.95708215821908e-06,1.49282988471389e-05
"32",32,99.9262274108609,0.0492029656355718,0.0245696235035572,0.0737725891391289,-2.23316104808191e-05,1.79006632333167e-05,4.43094725429902e-06,2.23316104876192e-05
"33",33,99.9099074033596,0.0600770233209707,0.0300155733194484,0.0900925966404191,-3.33868687789618e-05,2.67526779891558e-05,6.63419076419799e-06,3.33868687533295e-05
"34",34,99.8899861459955,0.0733489937917829,0.0366648602127133,0.110013854004496,-4.98885459450094e-05,3.99624633280748e-05,9.92608260370204e-06,4.98885459317699e-05
"35",35,99.8656722191586,0.0895450584102685,0.0447827224311315,0.1343277808414,-7.45096093481834e-05,5.9667401375918e-05,1.48422079812791e-05,7.45096093571762e-05
"36",36,99.8360018708424,0.109305586650143,0.0546925425074941,0.163998129157637,-0.000111229567920645,8.904890993916e-05,2.21806579586217e-05,0.000111229567897803
"37",37,99.799802270522,0.133409292470974,0.066788437007051,0.200197729478025,-0.000165969591833459,0.000132839464152296,3.31301276682572e-05,0.000165969591820525
"38",38,99.7556473097974,0.162802194494371,0.081550495708224,0.244352690202595,-0.000247533703657155,0.000198073576979346,4.94601266565614e-05,0.000247533703635894
"39",39,99.7018046268221,0.198632183009546,0.0995631901683353,0.298195373177881,-0.000369001417126924,0.000295198307414063,7.38031097152897e-05,0.000369001417129311
"40",40,99.6361723927083,0.242290052333615,0.121537554958062,0.363827607291677,-0.000549784539543907,0.000439712144837318,0.000110072394685176,0.00054978453952248
"41",41,99.55620429884,0.295457869367106,0.148337831792942,0.443795701160048,-0.000818657990592442,0.000654577768702425,0.00016408022187489,0.000818657990577287
"42",42,99.458821163352,0.360165485163348,0.181013351484699,0.541178836648047,-0.00121821349048901,0.000973763483738954,0.000244450006732316,0.00121821349047124
"43",43,99.3403076921419,0.438855806718591,0.220836501139507,0.659692307858099,-0.00181138182958307,0.00144742223900229,0.000363959590584745,0.00181138182958729
"44",44,99.1961932716764,0.534459059884236,0.269347668439368,0.803806728323604,-0.00269094459548569,0.00214943127511291,0.000541513320361509,0.00269094459547436
"45",45,99.0211163614836,0.650475591741473,0.328408046774939,0.978883638516412,-0.00399333430033266,0.00318830733930175,0.000805026960999489,0.00399333430030135
"46",46,98.8086732641427,0.791065647439904,0.40026108841744,1.19132673585734,-0.00591852961774464,0.00472290016120891,0.00119562945650736,0.00591852961771622
"47",47,98.5512540048741,0.961142838730785,0.487603156395161,1.44874599512595,-0.00875851349471191,0.0069847637648599,0.00177374972982697,0.00875851349468726
"48",48,98.2398710324456,1.16646548896681,0.593663478587626,1.76012896755443,-0.0129375851101514,0.0103097090650897,0.00262787604503423,0.0129375851101243
"49",49,97.8639907808539,1.41371646230322,0.722292756842924,2.13600921914614,-0.0190687743413349,0.0151817151401981,0.0038870592011071,0.019068774341306
"50",50,97.4113841280639,1.71055725749796,0.878058614438133,2.5886158719361,-0.0280315979437376,0.0222930164234167,0.00573858152027229,0.0280315979436896
"51",51,96.8680196782561,2.06563597594692,1.06634434579695,3.13198032174387,-0.041077185799864,0.0326245677948114,0.00845261800503638,0.0410771857998484
"52",52,96.2180335321092,2.4885214335518,1.29344503433905,3.78196646789084,-0.0599669442575674,0.0475508140068737,0.0124161302506456,0.0599669442575217
"53",53,95.4438202031949,2.98952785748706,1.56665193931809,4.55617979680515,-0.0871496506925808,0.0689710897636857,0.018178560928868,0.087149650692556
"54",54,94.5263000599551,3.57938780133301,1.89431213871189,5.4736999400449,-0.125978037684504,0.0994660792510205,0.0265119584334248,0.125978037684448
"55",55,93.4454262092785,4.26872781278157,2.28584597793994,6.5545737907215,-0.180958004896823,0.142470337097517,0.0384876677992403,0.180958004896763
"56",56,92.1809934408288,5.06730608254527,2.75170047662592,7.81900655917119,-0.258009961967815,0.202439702451664,0.0555702595161112,0.258009961967779
"57",57,90.7137974163972,5.98298906026253,3.30321352334028,9.28620258360281,-0.36470142499951,0.284975002908278,0.0797264220911642,0.364701424999447
"58",58,89.0271567773364,7.0204802004951,3.95236302216855,10.9728432226636,-0.510383761473676,0.396842124089328,0.11354163738427,0.510383761473605
"59",59,87.1087491958643,8.17987163223336,4.71137917190238,12.8912508041357,-0.706138631765398,0.545808221848079,0.160330409917239,0.706138631765324
"60",60,84.9526255980491,9.45516558123331,5.59220882071764,15.0473744019509,-0.964421573018242,0.74020439200503,0.224217181013148,0.964421573018186
"61",61,82.5611667728167,10.8329936006856,6.60583962649772,17.4388332271833,-1.29829742595155,0.988140828705257,0.310156597246238,1.2982974259515
"62",62,79.9466592667754,12.2918228133815,7.7615179198431,20.0533407332246,-1.72021286817026,1.29635606984903,0.423856798321163,1.72021286817021
"63",63,77.1321299077282,13.8019460245809,9.06592406769091,22.8678700922718,-2.24035540492258,1.6687831624611,0.571572242461414,2.24035540492252
"64",64,74.1511268569869,15.3264772989078,10.5223958441053,25.8488731430131,-2.86479488282409,2.1050475410065,0.759747341817537,2.86479488282404
"65",65,71.0462861113099,16.8234089896942,12.1303048989959,28.9537138886901,-3.59375143846901,2.59923142432879,0.994520014140168,3.59375143846896
"66",66,67.8667543830141,18.2485596568587,13.8846859601272,32.133245616986,-4.42041667230608,3.13928571430375,1.28113095800227,4.42041667230602
"67",67,64.6647901183243,19.5590200495066,15.776189832169,35.3352098816757,-5.33071007830474,3.70739030765227,1.62331977065239,5.33071007830466
"68",68,61.4920516362377,20.7165644101881,17.7913839535742,38.5079483637623,-6.30416149351608,4.28135200389666,2.02280948961935,6.30416149351601
"69",69,58.3961392045253,21.690491219291,19.9133695761837,41.6038607954747,-7.31582340976296,4.83684732857435,2.47897608118856,7.3158234097629
"70",70,55.4178695158576,22.4594936216501,22.1226368624924,44.5821304841424,-8.33884080980314,5.35007376830021,2.98876704150291,8.33884080980309
"71",71,52.589565587453,23.0123843231012,24.3980500894458,47.410434412547,-9.34714961154568,5.8002667872063,3.54688282433935,9.34714961154563
"72",72,49.9344153330266,23.3477349877176,26.7178496792557,50.0655846669734,-10.3177908553582,6.17160824254475,4.14618261281344,10.3177908553582
"73",73,47.4667587658086,23.4726678832805,29.0605733509109,52.5332412341914,-11.2324902872507,6.45425237819068,4.77823790906,11.2324902872507
"74",74,45.1930487302591,23.4011237454993,31.4058275242416,54.8069512697409,-12.0783806361219,6.64443830667059,5.43394232945127,12.0783806361218
"75",75,43.1131988668014,23.1519281252898,33.7348730079088,56.8868011331986,-12.8479488567755,6.74385544660885,6.10409341016665,12.8479488567755
"76",76,41.2220647944945,22.7469167327618,36.0310184727438,58.7779352055056,-13.5384179216113,6.75853305784223,6.77988486376908,13.5384179216113
"77",77,39.5108701789219,22.2092928402759,38.2798369808022,60.4891298210781,-14.1508116580294,6.69753567874314,7.45327597928625,14.1508116580293
"78",78,37.9684618433472,21.5623043620369,40.4692337946158,62.0315381566528,-14.6889229919122,6.5716922998755,8.11723069203664,14.6889229919121
"79",79,36.582340426562,20.8282606646494,42.5893989087887,63.4176595734381,-15.1583437201735,6.39250603450488,8.76583768566858,15.1583437201734
"80",80,35.3394581593825,20.0278645042829,44.6326773363346,64.6605418406175,-15.5656461548493,6.17131258489523,9.39433356995403,15.5656461548492
"81",81,34.2268029408617,19.1798106825815,46.5933863765567,65.7731970591383,-15.9177509023173,5.91869604586014,9.99905485645711,15.9177509023172
"82",82,33.2318014255831,18.300594842426,48.4676037319909,66.768198574417,-16.221476964447,5.6441336805229,10.5773432839241,16.2214769644469
"83",83,32.3425776641331,17.4044776270908,50.2529447087761,67.657422335867,-16.4832493486708,5.35582414496875,11.127425203702,16.4832493486707
"84",84,31.5481014268025,16.5035571292154,51.9483414439821,68.4518985731976,-16.7089307706497,5.06064971338001,11.6482810572697,16.7089307706496
"85",85,30.8382583478111,15.6079079582945,53.5538336938944,69.1617416521889,-16.9037468138815,4.76423144742494,12.1395153664565,16.9037468138814
"86",86,30.2038618201921,14.7257633688664,55.0703748109415,69.7961381798079,-17.0722716259927,4.47103548055139,12.6012361454413,17.0722716259926
"87",87,29.6366292818192,13.8637130561801,56.4996576620007,70.3633707181808,-17.2184552451211,4.1845094026932,13.0339458424278,17.218455245121
"88",88,29.1291344233424,13.0269053618456,57.843960214812,70.8708655766576,-17.3456731294907,3.9072262674136,13.438446862077,17.3456731294906
"89",89,28.6747472140027,12.2192414127051,59.1060113732922,71.3252527859973,-17.4567877659975,3.64102666267515,13.8157611033224,17.4567877659975
"90",90,28.2675672011846,11.4435573128759,60.2888754859395,71.7324327988154,-17.5542128404232,3.38714947729272,14.1670633631304,17.5542128404231
"91",91,27.9023554654702,10.7017902988635,61.3958542356663,72.0976445345298,-17.6399756621652,3.14634848133496,14.4936271808302,17.6399756621652
"92",92,27.5744681325908,9.99512749595009,62.4304043714591,72.4255318674092,-17.7157748603049,2.91899338353641,14.7967814767685,17.7157748603049
"93",93,27.2797934043562,9.32413721492149,63.3960693807223,72.7202065956438,-17.7830320691337,2.70515548955698,15.0778765795767,17.7830320691337
"94",94,27.0146930625351,8.6888834535556,64.2964234839093,72.9853069374649,-17.8429370807076,2.50467902973618,15.3382580509714,17.8429370807076
"95",95,26.7759489670872,8.08902476701398,65.1350262658988,73.2240510329128,-17.8964866454842,2.31723963727799,15.5792470082062,17.8964866454842
"96",96,26.5607146368888,7.52389888662244,65.9153864764887,73.4392853631111,-17.9445173621153,2.14239164761,15.8021257145053,17.9445173621153
