"","time","S","I","R","Total"
"1000",1000,900535.493506991,4223.87030227518,95240.6361907336,9.94645064930089
"10001",1000,686394.986296604,20.8177192371105,313584.195984159,31.3605013703395
"10002",1000,577027.819467505,0.0269524767992626,422972.153580015,42.2972180532492
"10003",1000,488987.270987232,5.06645722747325e-05,511012.728962104,51.1012729012767
"10004",1000,417187.241324113,1.529315164806e-07,582812.758675733,58.2812758675887
"10005",1000,358017.844574172,8.13928672252784e-10,641982.155425826,64.1982155425825
"10006",1000,308813.301265103,6.97550730539218e-12,691186.698734893,69.1186698734894
"10007",1000,267569.517208642,9.0932433334801e-14,732430.482791358,73.2430482791357
"10008",1000,232755.993933464,1.73268257316408e-15,767244.006066536,76.7244006066534
"10009",1000,203187.528021478,4.64145657641615e-17,796812.471978522,79.6812471978523
"100010",1000,177934.847729118,1.69434988580172e-18,822065.152270882,82.2065152270882
"100011",1000,156261.188680061,8.14307684202452e-20,843738.811319938,84.3738811319939
"100012",1000,137576.523975062,5.03553423175874e-21,862423.476024938,86.2423476024938
"100013",1000,121404.009243626,3.90111340584692e-22,878595.990756374,87.8595990756373
"100014",1000,107355.095573824,3.72683059751558e-23,892644.904426175,89.2644904426176
"100015",1000,95110.7707729423,4.2718374623431e-24,904889.229227057,90.4889229227057
"100016",1000,84407.3050524859,5.8240780652032e-25,915592.694947514,91.5592694947514
"100017",1000,75025.2744994131,9.25785011266954e-26,924974.725500587,92.4974725500588
"100018",1000,66781.0474180017,1.69877695267399e-26,933218.952581999,93.3218952581998
"100019",1000,59520.1375384541,3.54696123301652e-27,940479.862461544,94.0479862461545
"100020",1000,53111.9096950693,8.33500237236587e-28,946888.090304932,94.6888090304931
"100021",1000,47445.4029208478,2.18370622145482e-28,952554.597079151,95.2554597079153
"100022",1000,42425.9526516564,6.34066695851904e-29,957574.047348344,95.7574047348345
"100023",1000,37972.4543692609,2.01141833033431e-29,962027.54563074,96.202754563074
"100024",1000,34015.1777854265,6.95998246673103e-30,965984.822214572,96.5984822214573
"100025",1000,30494.0740355961,2.59540383930417e-30,969505.925964402,96.9505925964403
"100026",1000,27357.0608808064,1.04484667525555e-30,972642.939119193,97.2642939119193
"100027",1000,24558.9761252255,4.47782987730328e-31,975441.023874773,97.5441023874774
"100028",1000,22060.5063682948,2.04196478322792e-31,977939.493631705,97.7939493631706
"100029",1000,19827.3510124862,9.86390471893861e-32,980172.648987515,98.0172648987512
"100030",1000,17829.4843352986,5.03758887098873e-32,982170.515664702,98.2170515664701
"100031",1000,16040.5949390957,2.68059803533833e-32,983959.405060903,98.3959405060903
"100032",1000,14437.5860523194,1.49665683310094e-32,985562.413947681,98.5562413947682
"100033",1000,13000.0585999377,8.74444562304948e-33,986999.941400063,98.6999941400061
"100034",1000,11710.071718007,5.28239937530203e-33,988289.928281992,98.8289928281992
"100035",1000,10551.6954630633,3.29991453644317e-33,989448.304536935,98.9448304536937
"100036",1000,9511.1392408519,2.14534033148489e-33,990488.860759149,99.0488860759148
"100037",1000,8575.64082668476,1.43025392933418e-33,991424.359173317,99.1424359173315
"100038",1000,7734.20596293254,9.80589068189606e-34,992265.794037068,99.2265794037067
"100039",1000,6977.15870958055,6.89757452630478e-34,993022.841290419,99.3022841290419
"100040",1000,6295.65461720882,4.84210308164408e-34,993704.345382791,99.3704345382791
"100041",1000,5681.97339704315,3.57279789865704e-34,994318.026602957,99.4318026602956
"100042",1000,5129.14688857149,2.69256260719328e-34,994870.853111428,99.4870853111427
"100043",1000,4630.95228206309,2.06428165990437e-34,995369.047717937,99.5369047717937
"100044",1000,4181.85650900882,1.61572158114226e-34,995818.143490992,99.581814349099
"100045",1000,3776.90256306071,1.2861082828761e-34,996223.097436939,99.6223097436938
"100046",1000,3411.66243046478,1.03819859402539e-34,996588.337569534,99.6588337569536
"100047",1000,3082.15588166385,8.51081854758103e-35,996917.844118336,99.6917844118335
"100048",1000,2784.82783239863,7.06798897141634e-35,997215.1721676,99.7215172167599
"100049",1000,2516.46321247869,5.92103375860074e-35,997483.53678752,99.7483536787518
"100050",1000,2274.20004115554,5.03630123173045e-35,997725.799958845,99.7725799958844
"100051",1000,2055.46005665965,4.328575554543e-35,997944.53994334,99.7944539943339
