"","time","S","I","R","Total"
"1000",1000,936161.069565845,1846.88426380671,61992.0461703486,6.38389304341553
"10001",1000,833377.059121168,9.57573868047744,166613.365140157,16.6622940878837
"10002",1000,769228.29639523,0.0273705421240107,230771.676234228,23.077170360477
"10003",1000,714283.928921469,0.000134447068236669,285716.070944085,28.5716071078533
"10004",1000,666665.333345061,1.1607452146756e-06,333334.666653777,33.3334666654938
"10005",1000,624998.958346789,1.71119208604032e-08,375001.041653195,37.5001041653211
"10006",1000,588234.453789595,4.16896508897312e-10,411765.546210406,41.1765546210407
"10007",1000,555554.861209827,1.49930414769075e-11,444445.138790173,44.4445138790174
"10008",1000,526315.204774408,7.53883256059051e-13,473684.795225592,47.3684795225591
"10009",1000,499999.500178763,5.06036824854567e-14,500000.499821238,50.0000499821237
"100010",1000,476190.043605904,4.36054519218016e-15,523809.956394095,52.3809956394095
"100011",1000,454545.076413868,4.67412337912903e-16,545454.923586132,54.5454923586131
"100012",1000,434782.276245519,6.06606118464131e-17,565217.723754482,56.521772375448
"100013",1000,416666.367831355,9.29477436827062e-18,583333.632168644,58.3333632168644
"100014",1000,399999.73453114,1.65506122922976e-18,600000.26546886,60.000026546886
"100015",1000,384615.139724216,3.34864625726574e-19,615384.860275783,61.5384860275783
"100016",1000,370370.147444837,7.63019406606601e-20,629629.852555161,62.9629852555163
"100017",1000,357142.65183294,1.93134323602851e-20,642857.348167062,64.2857348167061
"100018",1000,344827.397307,5.3652832708542e-21,655172.602692999,65.5172602693
"100019",1000,333333.182179906,1.62133245529432e-21,666666.817820094,66.6666817820094
"100020",1000,322580.490700777,5.29664959766991e-22,677419.509299221,67.7419509299223
"100021",1000,312499.854889353,1.85611469834116e-22,687500.145110647,68.7500145110647
"100022",1000,303030.161083157,6.91778008049776e-23,696969.838916843,69.6969838916843
"100023",1000,294117.517394041,2.73090497968917e-23,705882.482605958,70.5882482605958
"100024",1000,285714.167629811,1.13823496491854e-23,714285.83237019,71.428583237019
"100025",1000,277777.670273055,4.96922659129626e-24,722222.329726943,72.2222329726944
"100026",1000,270270.175468915,2.2724112984544e-24,729729.824531086,72.9729824531088
"100027",1000,263157.814300411,1.08086788023241e-24,736842.18569959,73.684218569959
"100028",1000,256410.184690092,5.34522911452205e-25,743589.815309906,74.3589815309908
"100029",1000,249999.932973856,2.73897579552786e-25,750000.067026144,75.0000067026142
"100030",1000,243902.375711301,1.45031004231648e-25,756097.624288698,75.6097624288698
"100031",1000,238095.177518224,7.90319222611389e-26,761904.822481776,76.1904822481777
"100032",1000,232558.145665313,4.43437588318781e-26,767441.854334686,76.7441854334685
"100033",1000,227272.760038264,2.55237635961233e-26,772727.239961736,77.2727239961736
"100034",1000,222222.283723334,1.50487845768358e-26,777777.716276663,77.7777716276665
"100035",1000,217391.401420821,9.07971436723164e-27,782608.59857918,78.2608598579181
"100036",1000,212766.066303786,5.60653305554879e-27,787233.933696212,78.7233933696213
"100037",1000,208333.41865848,3.52060008196005e-27,791666.581341519,79.1666581341519
"100038",1000,204081.703837222,2.26050508371749e-27,795918.296162775,79.5918296162776
"100039",1000,200000.053680406,1.47465389769408e-27,799999.946319592,79.9999946319592
"100040",1000,196078.469433013,9.77375822827568e-28,803921.530566985,80.3921530566986
"100041",1000,192307.718089364,6.58886058137947e-28,807692.281910634,80.7692281910636
"100042",1000,188679.260853825,4.50762188180165e-28,811320.739146174,81.1320739146176
