"","time","S","I","R","Total"
"1000",1000,934702.814270652,1900.67618502048,63396.5095443271,6.52971857293476
"10001",1000,828459.860572148,6.70322477532325,171533.436203078,17.1540139427853
"10002",1000,759621.927718934,0.00961870547739435,240378.06266236,24.0378072281066
"10003",1000,699275.139455272,1.98054814248445e-05,300724.860524924,30.072486054473
"10004",1000,645899.470884214,6.48336486908847e-08,354100.529115725,35.410052911579
"10005",1000,598345.223460132,3.77132211960966e-10,401654.776539869,40.1654776539867
"10006",1000,555709.142550535,3.45296525076143e-12,444290.857449464,44.4290857449464
"10007",1000,517270.723216571,4.77956470583446e-14,482729.27678343,48.2729276783428
"10008",1000,482447.485476513,9.61117072900912e-16,517552.514523486,51.7552514523486
"10009",1000,450762.892720563,2.70636132887121e-17,549237.107279438,54.9237107279437
"100010",1000,421822.905677801,1.03183284562294e-18,578177.094322197,57.8177094322197
"100011",1000,395298.560260384,5.16715032253114e-20,604701.439739616,60.4701439739615
"100012",1000,370912.82132314,3.31688012588295e-21,629087.17867686,62.9087178676859
"100013",1000,348430.531995816,2.66500843099357e-22,651569.468004183,65.1569468004186
"100014",1000,327650.639300658,2.61960978665631e-23,672349.360699344,67.2349360699344
"100015",1000,308400.144215606,3.10582257255597e-24,691599.855784394,69.1599855784394
"100016",1000,290529.092522119,4.34568447592552e-25,709470.907477882,70.947090747788
"100017",1000,273907.213399534,7.09522289061575e-26,726092.786600466,72.6092786600466
"100018",1000,258420.130302037,1.33036535955316e-26,741579.869697963,74.1579869697964
"100019",1000,243967.317044532,2.83360175983492e-27,756032.682955467,75.6032682955469
"100020",1000,230460.058385872,6.80277333546756e-28,769539.941614129,76.9539941614128
"100021",1000,217819.508760801,1.81838675302884e-28,782180.491239198,78.2180491239198
"100022",1000,205975.371606445,5.36164189754999e-29,794024.628393553,79.4024628393554
"100023",1000,194864.966679499,1.73516523884812e-29,805135.033320503,80.5135033320505
"100024",1000,184431.940028813,6.08123542593999e-30,815568.059971186,81.5568059971185
"100025",1000,174625.431487183,2.30579017656451e-30,825374.568512816,82.5374568512817
"100026",1000,165399.688281693,9.40208635742273e-31,834600.311718307,83.4600311718307
"100027",1000,156713.258561437,4.07709787969026e-31,843286.741438566,84.3286741438565
