"","r0","HIT"
"1",1.1,9.09090909090908
"2",1.2,16.6666666666667
"3",1.3,23.0769230769231
"4",1.4,28.5714285714286
"5",1.5,33.3333333333333
"6",1.6,37.5
"7",1.7,41.1764705882353
"8",1.8,44.4444444444444
"9",1.9,47.3684210526316
"10",2,50
"11",2.1,52.3809523809524
"12",2.2,54.5454545454545
"13",2.3,56.5217391304348
"14",2.4,58.3333333333333
"15",2.5,60
"16",2.6,61.5384615384615
"17",2.7,62.962962962963
"18",2.8,64.2857142857143
"19",2.9,65.5172413793103
"20",3,66.6666666666667
"21",3.1,67.741935483871
"22",3.2,68.75
"23",3.3,69.6969696969697
"24",3.4,70.5882352941176
"25",3.5,71.4285714285714
"26",3.6,72.2222222222222
"27",3.7,72.972972972973
"28",3.8,73.6842105263158
"29",3.9,74.3589743589744
"30",4,75
"31",4.1,75.609756097561
"32",4.2,76.1904761904762
"33",4.3,76.7441860465116
"34",4.4,77.2727272727273
"35",4.5,77.7777777777778
"36",4.6,78.2608695652174
"37",4.7,78.7234042553191
"38",4.8,79.1666666666667
"39",4.9,79.5918367346939
"40",5,80
"41",5.1,80.3921568627451
"42",5.2,80.7692307692308
"43",5.3,81.1320754716981
"44",5.4,81.4814814814815
"45",5.5,81.8181818181818
"46",5.6,82.1428571428571
"47",5.7,82.4561403508772
"48",5.8,82.7586206896552
"49",5.9,83.0508474576271
"50",6,83.3333333333333
"51",6.1,83.6065573770492
"52",6.2,83.8709677419355
"53",6.3,84.1269841269841
"54",6.4,84.375
"55",6.5,84.6153846153846
"56",6.6,84.8484848484848
"57",6.7,85.0746268656716
"58",6.8,85.2941176470588
"59",6.9,85.5072463768116
"60",7,85.7142857142857
"61",7.1,85.9154929577465
"62",7.2,86.1111111111111
"63",7.3,86.3013698630137
"64",7.4,86.4864864864865
"65",7.5,86.6666666666667
"66",7.6,86.8421052631579
"67",7.7,87.012987012987
"68",7.8,87.1794871794872
"69",7.9,87.3417721518987
"70",8,87.5
"71",8.1,87.6543209876543
"72",8.2,87.8048780487805
"73",8.3,87.9518072289157
"74",8.4,88.0952380952381
"75",8.5,88.2352941176471
"76",8.6,88.3720930232558
"77",8.7,88.5057471264368
"78",8.8,88.6363636363636
"79",8.9,88.7640449438202
"80",9,88.8888888888889
"81",9.1,89.010989010989
"82",9.2,89.1304347826087
"83",9.3,89.247311827957
"84",9.4,89.3617021276596
"85",9.5,89.4736842105263
"86",9.6,89.5833333333333
"87",9.7,89.6907216494845
"88",9.8,89.7959183673469
"89",9.9,89.8989898989899
"90",10,90
