"","time","S","I","R","V","Total"
"1",1,98.9999,1e-04,1,1,1e-04
"2",2,97.9998673609867,0.000121591819999232,2.00001104719332,2,0.000132639013320629
"3",3,96.9998281381366,0.000147402911972296,3.00002445895138,3,0.000171861863349545
"4",4,95.9997811498672,0.000178157658970485,4.00004069247377,4,0.000218850132745981
"5",5,94.9997250330125,0.000214684234162046,5.00006028275329,5,0.000274966987456787
"6",6,93.9996582221798,0.000257924709029705,6.00008385311113,6,0.000341777820164107
"7",7,92.9995789271136,0.000308945939870386,7.0001121269465,7,0.000421072886373734
"8",8,91.9994851071226,0.000368951347087285,8.00014594153032,8,0.000514892877401417
"9",9,90.9993744470057,0.000439291454923573,9.00018626153938,9,0.000625552994297217
"10",10,89.9992443307119,0.000521474831351033,10.0002341944567,10,0.000755669288049032
"11",11,88.9990918143438,0.000617178628916193,11.0002910070273,11,0.000908185656220034
"12",12,87.9989135993941,0.000728258071946944,12.000358142534,12,0.00108640060591563
"13",13,86.9987060060572,0.00085675490253589,13.0004372390403,13,0.00129399394281408
"14",14,85.998464947271,0.00100490432023878,14.0005301484088,14,0.00153505272901692
"15",15,84.9981859040969,0.00117513999141407,15.0006389559117,15,0.00181409590313481
"16",16,83.9978639030548,0.0013700967119508,16.0007660002332,16,0.00213609694517386
"17",17,82.9974934961436,0.00159261025617429,17.0009138936002,17,0.00250650385640853
"18",18,81.9970687443245,0.00184571393781131,18.0010855417376,18,0.00293125567544514
"19",19,80.9965832053005,0.00213263140410755,19.0012841632954,19,0.00341679469946168
"20",20,79.9960299264644,0.0024567651889086,20.0015133083467,20,0.00397007353558783
"21",21,78.9954014439186,0.00282168057063503,21.0017768755108,21,0.00459855608139513
"22",22,77.9946897884762,0.00323108431531746,22.0020791272085,22,0.00531021152382901
"23",23,76.9938864995433,0.00368879793528418,23.0024247025214,23,0.00611350045669863
"24",24,75.9929826476018,0.00419872525558803,24.0028186271426,24,0.00701735239815477
"25",25,74.9919688667008,0.00476481368293482,25.0032663196163,25,0.00803113329920135
"26",26,73.9908353968562,0.005391009604544,26.0037735935392,26,0.00916460314376667
"27",27,72.9895721371631,0.00608120777777812,27.0043466550591,27,0.0104278628368962
"28",28,71.9881687105406,0.00683919457276251,28.0049920948866,28,0.0118312894594001
"29",29,70.9866145400745,0.00766858556477523,29.0057168743607,29,0.0133854599254806
"30",30,69.9848989369663,0.00857275799064169,30.006528305043,30,0.0151010630336756
"31",31,68.9830112000409,0.0095547786440719,31.007434021315,31,0.0169887999590774
"32",32,67.9809407263914,0.010617328040398,32.0084419455682,32,0.0190592736085718
"33",33,66.9786771324713,0.0117626218614872,33.0095602456672,33,0.0213228675287195
"34",34,65.9762103846671,0.0129923308637865,34.0107972844691,34,0.0237896153328855
"35",35,64.9735309380818,0.0143075006060167,35.0121615613122,35,0.0264690619182378
"36",36,63.9706298819622,0.0157084725058335,36.0136616455319,36,0.0293701180377753
"37",37,62.9674990899156,0.01719480786853,37.0153061022159,37,0.0325009100844016
"38",38,61.9641313727796,0.0187652166370424,38.0171034105833,38,0.0358686272203443
"39",39,60.9605206317637,0.020417492684901,39.0190618755514,39,0.0394793682362711
"40",40,59.9566620092576,0.0221484575074439,40.0211895332349,40,0.0433379907423905
"41",41,58.952552034531,0.0239539141564404,41.0234940513126,41,0.0474479654690453
"42",42,57.9481887614216,0.0258286132053551,42.0259826253731,42,0.0518112385784217
"43",43,56.9435718950457,0.0277662324240452,43.0286618725302,43,0.0564281049542903
"44",44,55.9387029045634,0.0297593716812281,44.0315377237553,44,0.0612970954365314
"45",45,54.9335851191035,0.0317995643806623,45.0346153165158,45,0.0664148808964456
"46",46,53.9282238040959,0.0338773064743712,46.0378988894297,46,0.0717761959041054
"47",47,52.9226262154811,0.0359821037868801,47.041391680732,47,0.0773737845188848
"48",48,51.9168016295604,0.0381025380335697,48.045095832406,48,0.0831983704396023
"49",49,50.9107613466154,0.0402263515308415,49.0490123018538,49,0.0892386533846065
"50",50,49.9045186668598,0.0423405501844271,50.0531407829557,50,0.0954813331401427
"51",51,48.8980888377746,0.0444315239148644,51.0574796383105,51,0.101911162225388
"52",52,47.8914889724152,0.0464851832470928,52.0620258443377,52,0.108511027584762
"53",53,46.8847379388553,0.0484871103663289,53.0667749507783,53,0.115262061144661
"54",54,45.8778562215234,0.0504227225374009,54.0717210559392,54,0.122143778476562
"55",55,44.8708657557934,0.0522774454121194,55.0768567987944,55,0.129134244206551
"56",56,43.8637897377809,0.054036893421267,56.0821733687978,56,0.136210262219046
"57",57,42.856652411864,0.0556870541757661,57.0876605339602,57,0.143347588135932
"58",58,41.849478838972,0.0572144735956416,58.0933066874324,58,0.150521161028019
"59",59,40.8422946491085,0.0586064383920575,59.0990989124994,59,0.15770535089148
"60",60,39.8351257821936,0.0598511522722143,60.1050230655341,60,0.164874217806347
"61",61,38.8279982211719,0.0609379027067881,61.1110638761213,61,0.17200177882808
"62",62,37.8209377219799,0.0618572147624529,62.1172050632577,62,0.17906227802011
"63",63,36.8139695448912,0.0626009889670083,63.1234294661418,63,0.18603045510878
"64",64,35.8071181918286,0.0631626203271201,64.1297191878443,64,0.192881808171386
"65",65,34.8004071540757,0.0635370960972563,65.1360557498271,65,0.199592845924303
"66",66,33.7938586746342,0.0637210702701769,66.1424202550956,66,0.206141325365809
"67",67,32.7874935292058,0.0637129132271391,67.148793557567,67,0.212506470794175
"69",68,32.7811400785531,0.0635951724010543,67.1550647490459,67,0.218759921446929
"70",69,32.7748916989476,0.0634893270348461,67.1614189740176,67,0.225008301052428
"71",70,32.7686549652685,0.0633824708176362,67.1677625639139,67,0.231245034731512
"72",71,32.7624299588819,0.0632746106889434,67.1740954304291,67,0.237470041118065
"73",72,32.7562167869995,0.0631657559082009,67.1804174570923,67,0.243683213000513
"74",73,32.7500155369977,0.063055914180953,67.1867285488214,67,0.24988446300231
"75",74,32.7438262990668,0.0629450935670525,67.1930286073662,67,0.2560737009332
"76",75,32.7376491626343,0.0628333021725322,67.1993175351931,67,0.262250837365661
"77",76,32.7314842161545,0.0627205481539682,67.2055952356915,67,0.268415783845511
"78",77,32.7253315472887,0.0626068397073808,67.211861613004,67,0.274568452711328
"79",78,32.7191912428358,0.0624921850707042,67.2181165720934,67,0.280708757164148
"80",79,32.7130633887224,0.0623765925229827,67.2243600187546,67,0.28683661127754
"81",80,32.7069480700054,0.0622600703829208,67.2305918596116,67,0.292951929994587
"82",81,32.7008453708692,0.0621426270075975,67.2368120021232,67,0.299054629130781
"83",82,32.6947553746236,0.0620242707913727,67.243020354585,67,0.305144625376432
"84",83,32.6886781637009,0.0619050101647298,67.2492168261344,67,0.311221836299125
"85",84,32.6826138196538,0.0617848535930651,67.2554013267531,67,0.317286180346194
"86",85,32.676562423153,0.0616638095755236,67.2615737672714,67,0.323337576846962
"87",86,32.6705240539851,0.0615418866438301,67.267734059371,67,0.329375946014886
"88",87,32.6644987910504,0.0614190933611206,67.2738821155884,67,0.335401208949587
"89",88,32.6584867123612,0.061295438320776,67.280017849318,67,0.341413287638765
"90",89,32.65248789504,0.0611709301452573,67.2861411748147,67,0.347412104960004
"91",90,32.6465024153175,0.0610455774849442,67.2922520071975,67,0.353397584682457
"92",91,32.6405303485316,0.0609193890169753,67.2983502624515,67,0.359369651468423
"93",92,32.6345717691252,0.0607923734440919,67.3044358574307,67,0.365328230874805
"94",93,32.6286267506455,0.060664539493485,67.310508709861,67,0.371273249354463
"95",94,32.6226953657426,0.0605358959156449,67.3165687383418,67,0.377204634257451
"96",95,32.6167776861679,0.0604064514832154,67.322615862349,67,0.383122313832142
"97",96,32.6108737827738,0.0602762149898508,67.3286500022364,67,0.389026217226243
"98",97,32.6049837255123,0.0601451952490779,67.3346710792387,67,0.394916274487703
"99",98,32.5991075834345,0.0600134010931616,67.3406790154724,67,0.400792416565507
"100",99,32.5932454246896,0.059880841371975,67.3466737339384,67,0.406654575310367
"101",100,32.5873973165247,0.0597475249518744,67.3526551585235,67,0.412502683475297
"102",101,32.5815633252839,0.0596134607145791,67.3586232140016,67,0.418336674716086
"103",102,32.5757435164083,0.0594786575560565,67.3645778260357,67,0.424156483591668
"104",103,32.5699379544356,0.0593431243854115,67.370518921179,67,0.429962045564375
"105",104,32.5641467029999,0.059206870123783,67.3764464268764,67,0.435753297000095
"106",105,32.5583698248317,0.0590699037032447,67.3823602714651,67,0.441530175168319
"107",106,32.5526073817579,0.0589322340657124,67.3882603841765,67,0.447292618242093
"108",107,32.5468594347021,0.058793870161857,67.3941466951361,67,0.453040565297851
"109",108,32.5411260436848,0.0586548209500243,67.4000191353652,67,0.458773956315165
