"","time","S","I","R","V","Total"
"1",1,99.4999,1e-04,0.5,0.5,1e-04
"2",2,98.9998670755909,0.000121865740771452,1.00001105866837,1,0.000132924409142015
"3",3,98.4998271849926,0.000148290019653662,1.50002452498774,1.5,0.000172815007396839
"4",4,97.9997789282092,0.000180173312097135,2.00004089847877,2,0.000221071790862484
"5",5,97.4997206393355,0.000218583640832042,2.50006077702365,2.5,0.000279360664479266
"6",6,96.9996503402239,0.000264785018691454,3.00008487475747,3,0.000349659776160522
"7",7,96.4995656860168,0.000320270759803868,3.50011404322338,3.5,0.000434313983188327
"8",8,95.9994639002581,0.000386802977463423,4.00014929676449,4,0.000536099741950402
"9",9,95.4993417031117,0.000466456040640081,4.50019184084766,4.5,0.000658296888304445
"10",10,94.9991952253584,0.000561668424730598,5.00024310621687,5,0.000804774641604125
"11",11,94.499019910504,0.000675301404029469,5.50030478809199,5.5,0.000980089496015548
"12",12,93.9988104021643,0.000810706241486876,6.00037889159425,6,0.00118959783573376
"13",13,93.4985604133253,0.000971801756225704,6.50046778491848,6.5,0.00143958667470939
"14",14,92.9982625784463,0.00116316161358761,7.00057425994012,7,0.00173742155371242
"15",15,92.4979082827656,0.00139011448583352,7.50070160274862,7.5,0.00209171723445749
"16",16,91.9974874675246,0.00165885769899788,8.00085367477639,8,0.00251253247539685
"17",17,91.496988408378,0.00197658573264629,8.50103500588936,8.5,0.00301159162200613
"18",18,90.9963974631412,0.00235163561320637,9.00125090124565,9,0.00360253685886664
"19",19,90.4956987856072,0.00279365080918232,9.50150756358366,9.5,0.00430121439284443
"20",20,89.9948740015391,0.00331376556395925,10.001812232897,10,0.00512599846092162
"21",21,89.4939018425962,0.00392481174087516,10.502173345663,10.5,0.00609815740384802
"22",22,88.9927577337315,0.00464155030559354,11.002600715963,11,0.00724226626857841
"23",23,88.4914133291989,0.00548092972334983,11.5031057410777,11.5,0.00858667080109992
"24",24,87.9898359919999,0.00646237363229746,12.0037016343678,12,0.0101640080001377
"25",25,87.4879882112891,0.00760810022576497,12.5044036884851,12.5,0.012011788710871
"26",26,86.9858269519533,0.00894347583482429,13.0052295722119,13,0.014173048046737
"27",27,86.4833029303068,0.0104974052199552,13.5061996644732,13.5,0.0166970696931668
"28",28,85.9803598096212,0.0123027610617543,14.007337429317,14,0.0196401903787978
"29",29,85.4769333090218,0.0143968550726954,14.5086698359055,14.5,0.023066690978201
"30",30,84.9729502191836,0.0168219530222653,15.0102278277941,15,0.0270497808164223
"31",31,84.468327318237,0.019625835765285,15.5120468459977,15.5,0.031672681763021
"32",32,83.9629701813927,0.0228624080719938,16.0141674105353,16,0.0370298186072913
"33",33,83.4567718780298,0.0265923566614192,16.5166357653088,16.5,0.0432281219702224
"34",34,82.9496115503985,0.0308838583171533,17.0195045912844,17,0.0503884496015429
"35",35,82.4413528687044,0.0358133382943359,17.5228337930013,17.5,0.0586471312955955
"36",36,81.9318423582035,0.0414662783830649,18.0266913634134,18,0.0681576417964676
"37",37,81.4209075950965,0.0479380729480634,18.5311543319554,18.5,0.0790924049034767
"38",38,80.9083552695209,0.0553349299853541,19.0363098004938,19,0.0916447304791459
"39",39,80.3939691158571,0.0637748126887163,19.5422560714542,19.5,0.106030884142904
"40",40,79.8775077129623,0.0733884151633766,20.0491038718743,20,0.122492287037662
"41",41,79.358702159891,0.0843201637203489,20.5569776763887,20.5,0.141297840109007
"42",42,78.8372536362427,0.0967292325884308,21.0660171311689,21,0.162746363757332
"43",43,78.3128308605746,0.110790559847194,21.5763785795782,21.5,0.187169139425387
"44",44,77.7850674654548,0.126695845901126,22.088236688644,22,0.214932534545171
"45",45,77.2535593134967,0.144654512506481,22.6017861739968,22.5,0.246440686503306
"46",46,76.7178617871673,0.164894596083076,23.1172436167497,23,0.282138212832746
"47",47,76.1774870883605,0.187663544463714,23.6348493671758,23.5,0.322512911639489
"48",48,75.6319016024705,0.213228879864707,24.1548695176648,24,0.368098397529483
"49",49,75.0805233805166,0.241878681939489,24.6775979375439,24.5,0.419476619483379
"50",50,74.5227198133072,0.273921842546576,25.2033583441462,25,0.477280186692775
"51",51,73.9578055795103,0.309688035751065,25.7325063847386,25.5,0.542194420489671
"52",52,73.385040960939,0.349527339481285,26.2654316995797,26,0.614959039061035
"53",53,72.8036306661718,0.393809409895579,26.8025599239326,26.5,0.696369333828209
"54",54,72.2127232403549,0.442922174580235,27.3443545850649,27,0.787276759645111
"55",55,71.611411230376,0.497269928481479,27.8913188411425,27.5,0.888588769624014
"56",56,70.9987322771985,0.557270730696539,28.443996992105,28,1.00126772280156
"57",57,70.3736712859915,0.623353019555431,29.0029756944531,28.5,1.1263287140085
"58",58,69.735163860778,0.695951345468472,29.5688847937535,29,1.26483613922199
"59",59,69.0821011968818,0.775501121318285,30.1423976817999,29.5,1.41789880311819
"60",60,68.4133366218236,0.862432302047023,30.7242310761294,30,1.58666337817644
"61",61,67.7276939728015,0.957161916516696,31.3151441106818,30.5,1.77230602719856
"62",62,67.0239779852864,1.06008539497039,31.9159366197432,31,1.97602201471362
"63",63,66.300986842583,1.17156666426802,32.527446493149,31.5,2.19901315741707
"64",64,65.5575269990176,1.29192702134535,33.1505459796371,32,2.44247300098248
"65",65,64.7924303368736,1.42143284442355,33.7861368187029,32.5,2.70756966312646
"66",66,64.004573648286,1.56028226154618,34.4351440901679,33,2.99542635171406
"67",67,63.1929003470611,1.70859096686098,35.0985086860779,33.5,3.30709965293889
"68",68,62.3564442119148,1.86637745553914,35.7771783325461,34,3.64355578808522
"69",69,61.4943548434281,2.03354803598901,36.4720971205829,34.5,4.00564515657194
"70",70,60.6059243852224,2.20988206939698,37.1841935453806,35,4.3940756147776
"71",71,59.690614920573,2.39501797638747,37.9143671030396,35.5,4.8093850794271
"72",72,58.74808581561,2.58844063246025,38.6634735519298,36,5.25191418439006
"73",73,57.7782201634331,2.78947082840813,39.4323090081588,36.5,5.72177983656694
"74",74,56.7811492963954,2.99725757133309,40.2215931322715,37,6.21885070360465
"75",75,55.757274421545,3.2107738743101,41.0319517041449,37.5,6.74272557845506
"76",76,54.7072842079406,3.42881680556183,41.8638989864976,38,7.29271579205948
"77",77,53.6321672920682,3.65001237394066,42.7178203339912,38.5,7.86783270793187
"78",78,52.5332187017616,3.87282574705327,43.5939555511852,39,8.46678129823845
"79",79,51.4120393767334,4.09557706955947,44.4923835537071,39.5,9.08796062326661
"80",80,50.2705281761902,4.31646293253855,45.4130088912713,40,9.72947182380984
"81",81,49.1108660388808,4.53358326665996,46.3555506944593,40.5,10.3891339611193
"82",82,47.9354922844324,4.74497315250738,47.3195345630602,41,11.0645077155676
"83",83,46.7470734451286,4.94863871280455,48.3042878420669,41.5,11.7529265548714
"84",84,45.5484653366039,5.14259601528572,49.3089386481104,42,12.4515346633962
"85",85,44.3426694341714,5.32491167300807,50.3324188928206,42.5,13.1573305658287
"86",86,43.1327849412605,5.49374367703181,51.3734713817077,43,13.8672150587395
"87",87,41.9219581350795,5.64738092006274,52.4306609448577,43.5,14.5780418649205
"88",88,40.7133306915417,5.7842799123761,53.5023893960822,44,15.2866693084584
"89",89,39.5099888729528,5.90309717937846,54.5869139476688,44.5,15.9900111270473
"90",90,38.3149150569992,6.00271632575723,55.6823686172436,45,16.6850849430009
"91",91,37.1309433182953,6.08226865529866,56.7867880264061,45.5,17.3690566817048
"92",92,35.9607202565603,6.14114683282239,57.8981329106174,46,18.0392797434398
"93",93,34.8066721152172,6.17901124836306,59.0143166364198,46.5,18.6933278847828
"94",94,33.6709787918179,6.19578921782946,60.1332319903526,47,19.3290212081821
"95",95,32.5555550598676,6.19166739240578,61.2527775477266,47.5,19.9444449401324
"96",96,31.4620389912879,6.16707804207221,62.3708829666399,48,20.5379610087122
"97",97,30.3917872501076,6.12268010608083,63.4855326438116,48.5,21.1082127498925
"98",98,29.3458767427015,6.05933600543441,64.5947872518641,49,21.6541232572986
"99",99,28.3251118586027,5.97808534751081,65.6968027938865,49.5,22.1748881413974
"100",100,27.3300364761999,5.88011660506151,66.7898469187386,50,22.6699635238001
"102",101,26.8564906907856,5.7710137803652,67.3723955288492,50,23.1434093092144
"103",102,26.4000389710769,5.65606465775121,67.9437963711719,50,23.5998610289231
"104",103,25.9605012010964,5.53596002779406,68.5034387711095,50,24.0393987989036
"105",104,25.5376575680728,5.41140173234212,69.0508406995851,50,24.4622424319272
