"","time","S","I","R","V","Total"
"1",1,99.8999,1e-04,0.1,0.1,1e-04
"2",2,99.7998668468241,0.000122085318259874,0.200011067857682,0.2,0.000133153175941793
"3",3,99.6998264184702,0.000149003533491268,0.300024577996314,0.3,0.000173581529804827
"4",4,99.5997771334084,0.000181802233027642,0.400041064358607,0.4,0.000222866591634512
"5",5,99.4997170692664,0.000221754104598366,0.50006117662902,0.5,0.000282930733617901
"6",6,99.3996438909053,0.000270404289916124,0.600085704804851,0.6,0.000356109094766881
"7",7,99.2995547617173,0.000329628754461808,0.700115609528264,0.7,0.000445238282726254
"8",8,99.1994462374796,0.000401704096356163,0.800152058424084,0.8,0.000553762520439942
"9",9,99.0993141376659,0.000489392131912974,0.900196470202248,0.9,0.000685862334161219
"10",10,98.9991533890806,0.000596042617609595,1.00025056830178,1,0.000846610919391923
"11",11,98.8989578384287,0.000725716309470975,1.10031644526182,1.1,0.00104216157129394
"12",12,98.798720022115,0.000883336013400852,1.20039664187166,1.2,0.00127997788506039
"13",13,98.6984308922622,0.001074866266693,1.30049424147121,1.3,0.00156910773789906
"14",14,98.5980794836517,0.00130753162825403,1.40061298472004,1.4,0.00192051634829871
"15",15,98.4976525105947,0.00159008074834256,1.50075740865703,1.5,0.00234748940536829
"16",16,98.3971338814912,0.00193310415831814,1.6009330143505,1.6,0.00286611850881803
"17",17,98.2965041123016,0.00234941801091028,1.70114646968756,1.7,0.00349588769847562
"18",18,98.1957396187217,0.0028545268949597,1.80140585438342,1.8,0.00426038127838249
"19",19,98.0948118625151,0.00346718166201677,1.9017209558229,1.9,0.0051881374849143
"20",20,97.9936863219988,0.00421005173192632,2.00210362626927,2,0.00631367800119944
"21",21,97.8923212511027,0.00511053493699853,2.10256821396037,2.1,0.00767874889737305
"22",22,97.7906661841503,0.00620173265418706,2.20313208319562,2.2,0.00933381584980455
"23",23,97.6886601349516,0.00752362348066478,2.30381624156772,2.3,0.0113398650483826
"24",24,97.586229428681,0.00912447520702551,2.40464609611199,2.4,0.0137705713190208
"25",25,97.4832850928377,0.0110625426487221,2.50565236451365,2.5,0.0167149071623681
"26",26,97.3797197191486,0.0134081081356155,2.60687217271586,2.6,0.0202802808514805
"27",27,97.2754036911098,0.0162459324088586,2.70835037648138,2.7,0.0245963088902423
"28",28,97.1701806515064,0.0196781966265618,2.81014115186709,2.8,0.0298193484936546
"29",29,97.063862060184,0.0238280314334343,2.91230990838263,2.9,0.0361379398160666
