"","time","S","I","R","V","Total"
"1",1,99.8999,1e-04,0.1,0.1,1e-04
"2",2,99.7998669039665,0.000122030470733702,0.200011065562712,0.2,0.000133096033446094
"3",3,99.6998266100357,0.000148825211675879,0.300024564752636,0.3,0.000173389964312122
"4",4,99.5997775823677,0.000181394740843281,0.400041022891458,0.4,0.000222417632300896
"5",5,99.4997179634769,0.000220959873609681,0.500061076649466,0.5,0.000282036523075458
"6",6,99.3996455090769,0.000268994033113,0.60008549688994,0.6,0.000354490923052746
"7",7,99.2995575085203,0.000327274860328328,0.700115216619331,0.7,0.00044249147965921
"8",8,99.1994506898889,0.000397945705176969,0.800151364405878,0.8,0.000549310111054659
"9",9,99.0993211068013,0.000483588870065364,0.900195304328603,0.9,0.000678893198667962
"10",10,98.9991640016712,0.000587313991251497,1.00024868433751,1,0.000835998328756512
"11",11,98.8989736433359,0.000712862853034211,1.10031349381105,1.1,0.00102635666408636
"12",12,98.7987431306712,0.000864735998324077,1.20039213333041,1.2,0.00125686932873349
"13",13,98.6984641597021,0.00104834269497265,1.30048749760293,1.3,0.001535840297907
"14",14,98.5981267450925,0.0012701800420918,1.40060307486539,1.4,0.00187325490747755
"15",15,98.4977188862738,0.00153804741923494,1.50074306630694,1.5,0.00228111372617843
"16",16,98.3972261698758,0.0018613015107645,1.60091252861337,1.6,0.00277383012413847
"17",17,98.2966312954139,0.00225116016517326,1.70111754442088,1.7,0.0033687045860557
"18",18,98.1959135097489,0.00272106422175657,1.80136542602934,1.8,0.00408649025109252
"19",19,98.0950479335943,0.00328710782483904,1.90166495858087,1.9,0.00495206640570698
"20",20,97.9940047597959,0.00396854996924399,2.00202669023482,2,0.00599524020406516
"21",21,97.8927482997079,0.00478842212345781,2.1024632781686,2.1,0.00725170029205244
"22",22,97.7912358497369,0.00577424940928971,2.20298990085381,2.2,0.00876415026309445
"23",23,97.6894163451097,0.0069589059141825,2.30362474897607,2.3,0.0105836548902532
"24",24,97.5872287621779,0.00838162824226908,2.40438960957984,2.4,0.0127712378221114
"25",25,97.4846002238097,0.0100892155525145,2.50531056063773,2.5,0.015399776190246
"26",26,97.3814437545786,0.0121374491179855,2.60641879630343,2.6,0.0185562454214114
"27",27,97.277655623371,0.0145927699517674,2.70775160667723,2.7,0.0223443766290002
"28",28,97.1731122005387,0.0175342593823215,2.80935354007896,2.8,0.0268877994612766
"29",29,97.0676662446367,0.0210559746984103,2.91127778066486,2.9,0.0323337553632709
"30",30,96.9611425199592,0.025269700201109,3.01358777983965,3,0.038857480040759
"31",31,96.8533326303377,0.0303081832598705,3.11635918640245,3.1,0.0466673696623219
"32",32,96.7439889368667,0.0363289353002339,3.21968212783304,3.2,0.0560110631332769
"33",33,96.632817407288,0.0435186890341492,3.32366390367791,3.3,0.0671825927120535
"34",34,96.5194692226812,0.0520986155823518,3.42843216173647,3.4,0.0805307773188188
"35",35,96.4035309430225,0.0623304182155914,3.53413863876186,3.5,0.0964690569774512
"36",36,96.2845130073982,0.0745234328680516,3.64096355973374,3.6,0.11548699260179
"37",37,96.1618363178493,0.0890428787118478,3.74912080343881,3.7,0.138163682150654
"38",38,96.0348166290355,0.106319413932443,3.85886395703206,3.8,0.165183370964499
"39",39,95.9026464408233,0.12686016092601,3.97049339825063,3.9,0.19735355917664
"40",40,95.7643740700732,0.15126136929266,4.08436456063415,4,0.235625929926812
"41",41,95.6188795650095,0.180222881157551,4.20089755383291,4.1,0.281120434990464
"42",42,95.464847125899,0.214564547244135,4.32058832685689,4.2,0.33515287410102
"43",43,95.3007337166578,0.255244707911797,4.44402157543035,4.3,0.399266283342146
