"","time","S","I","R","Itotal","V1","V2","N","N_per","S_per","I_per","R_per","V1_per","V2_per","Itotal_per"
"1",1,2.95e+08,1,0,1,0,0,295000001,100,99.9999996610169,3.38983049698363e-07,0,0,0,3.38983049698363e-07
"2",2,294599943.86913,1.10494756483459,0.209753778393146,1.31527481610406,390027.91969798,14069.1291646826,295004042.232694,100,99.8630193808513,3.74553364242728e-07,7.11020014524735e-08,0.132211042515252,0.00476913097807151,4.45849760616702e-07
"3",3,294200035.60746,1.22043157098889,0.440312141085051,1.66311282515254,753173.741804111,54872.5107417246,295008083.52075,100,99.7260929586586,4.13694281330785e-07,1.49254263079907e-07,0.25530613697612,0.0186003414167006,5.6375161158442e-07
"4",4,293800418.124354,1.3474831666117,0.693762622135542,2.04675399901054,1091290.64358813,120414.054979343,295012124.864167,100,99.5892688341636,4.56755181581816e-07,2.35164104680434e-07,0.369913827809822,0.0408166461072697,6.93786399441355e-07
"5",5,293401223.628675,1.4872327244208,0.972396603429321,2.46975353696313,1406104.04956471,208836.125078191,295016166.262947,100,99.4525918173471,5.04119060070502e-07,3.29607904457218e-07,0.476619321366767,0.0707880275591596,8.37158711757459e-07
"6",6,293002574.371045,1.64091924336382,1.2787288976523,2.9360120362908,1699220.43776321,318409.988634328,295020207.71709,100,99.3161033402903,5.56205710809269e-07,4.33437732129364e-07,0.575967473859511,0.107928196206704,9.95190146129341e-07
"7",7,292604583.335011,1.80990063008547,1.61551918818572,3.4498085136785,1972135.54021706,447526.925949764,295024249.226598,100,99.1798416916814,6.13475209183686e-07,5.47588610909369e-07,0.66846557372385,0.151691573530972,1.16933049494139e-06
"8",8,292207354.880485,1.99566493866783,1.98579549360746,4.01583653406612,2226241.97749013,594689.952035383,295028290.791471,100,99.0438422351232,6.76431718908743e-07,6.73086465125151e-07,0.75458593191785,0.201570483440761,1.36116998247621e-06
"9",9,291810985.342772,2.19984265708152,2.39287984604145,4.63924373642393,2462836.36674809,758506.109466313,295032332.411709,100,98.9081376123748,7.45627653450435e-07,8.11056817563391e-07,0.834768293568336,0.257092537372426,1.57245265239268e-06
"10",10,291415563.590301,2.42422013724806,2.84041639081514,5.32567507376836,2683125.93997902,937679.292398417,295036374.087314,100,98.7727579325719,8.21668224722224e-07,9.6273430677891e-07,0.909422083388594,0.317818199636942,1.80509101301261e-06
"11",11,291021171.543818,2.67075427178654,3.33240212843378,6.0813201053195,2888234.70551739,1131003.56579557,295040415.818287,100,98.637730948378,9.0521641395443e-07,1.12947309919946e-06,0.978928496120419,0.383338520812061,2.06118205482226e-06
"12",12,290627884.659912,2.94158853883384,3.8732205593151,6.91296473893357,3079209.18646124,1337356.94344504,295044457.604627,100,98.5030822200247,9.96998405838791e-07,1.31275828421267e-06,1.04364244340001,0.453273026818608,2.34302477499755e-06
"13",13,290235772.380978,3.23907052776962,4.46767847367023,7.82804779422105,3257023.7612801,1555695.5973299,295048499.446337,100,98.3688352679677,1.09780952414528e-06,1.51421833429213e-06,1.10389436563546,0.527267754368922,2.65313933435029e-06
"14",14,289844898.554237,3.56577109142917,5.12104619970106,8.83472286474426,3422585.63756702,1785048.46479461,295052541.343415,100,98.2350117150431,1.20852071810455e-06,1.73563873620075e-06,1.15999191939968,0.604993421397773,2.99428800867755e-06
