"","time","S","I","R","Itotal","V1","V2","N","N_per","S_per","I_per","R_per","V1_per","V2_per","Itotal_per"
"1",1,2.95e+08,1,0,1,0,0,295000001,100,99.9999996610169,3.38983049698363e-07,0,0,0,3.38983049698363e-07
"2",2,294599943.869372,1.10472074863481,0.209739042846739,1.31503324418718,390027.919690871,14069.1291720223,295004042.232694,100,99.8630193809331,3.74476478448868e-07,7.10970064204411e-08,0.132211042512843,0.00476913098055952,4.45767872953384e-07
"3",3,294200035.608549,1.21943076050797,0.440185336936273,1.66198486836831,753173.741339843,54872.5112448501,295008083.52075,100,99.7260929590277,4.13355032836653e-07,1.49211279800512e-07,0.255306136818745,0.0186003415872469,5.63369263829483e-07
"4",4,293800418.127087,1.34500066705676,0.693302269738707,2.04380931017498,1091290.6411051,120414.057671861,295012124.864167,100,99.5892688350901,4.55913690895262e-07,2.35008059434142e-07,0.369913826968152,0.04081664701995,6.92788240861631e-07
"5",5,293401223.634597,1.48237014632841,0.971222800170076,2.46371099748335,1406104.04823127,208836.126525387,295016166.262947,100,99.4525918193547,5.0247081883885e-07,3.29210026851352e-07,0.476619320914777,0.0707880280497075,8.35110505533263e-07
"6",6,293002574.381902,1.63255283460054,1.27626279103589,2.92516357239685,1699220.43811268,318409.988259713,295020207.71709,100,99.3161033439706,5.53369834301681e-07,4.32601821045343e-07,0.575967473977968,0.107928196079725,9.91512952632023e-07
"7",7,292604583.352871,1.79664153363971,1.61093525325265,3.43193039737816,1972135.54054226,447526.925607901,295024249.226598,100,99.179841697735,6.08980969648963e-07,5.46034862380192e-07,0.668465573834076,0.151691573415096,1.16327061466131e-06
"8",8,292207354.908171,1.97581373706182,1.9779655835028,3.98808645594228,2226241.97782502,594689.95169528,295028290.791471,100,99.0438422445075,6.69703143302397e-07,6.7043251282666e-07,0.754585932031361,0.201570483325483,1.35176407836803e-06
"9",9,291810985.383832,2.17133749589742,2.38030786583804,4.59804174508156,2462836.36706419,758506.109168273,295032332.41171,100,98.9081376262916,7.35965945883986e-07,8.0679559639463e-07,0.834768293675477,0.257092537271406,1.55848740627692e-06
"10",10,291415563.649142,2.38457763240392,2.82116227831952,5.26656621388319,2683125.94028292,937679.292149779,295036374.087315,100,98.7727579525157,8.08231744231717e-07,9.56208293654196e-07,0.909422083491596,0.317818199552669,1.78505658164189e-06
"11",11,291021171.625902,2.61700232293398,3.30399368075346,5.99881635237114,2888234.70626049,1131003.56512828,295040415.818287,100,98.6377309761995,8.86997910328926e-07,1.1198444360885e-06,0.978928496372284,0.383338520585891,2.03321851202439e-06
"12",12,290627884.771858,2.87019006731755,3.8325514511138,6.80036352228622,3079209.1877065,1337356.94232162,295044457.604627,100,98.5030822579667,9.72799181052142e-07,1.29897422314897e-06,1.04364244382207,0.453273026437844,2.30486062252998e-06
"13",13,290235772.530785,3.14583706274267,4.41089064181062,7.67722412602385,3257023.76299075,1555695.59583334,295048499.446337,100,98.3688353187415,1.06621015482061e-06,1.49497138608999e-06,1.10389436621525,0.527267753861696,2.60202107125787e-06
"14",14,289844898.751512,3.44576500134905,5.04339453156313,8.63589171627394,3422585.63953666,1785048.46320788,295052541.343416,100,98.235011781904,1.16784793164634e-06,1.70932082421654e-06,1.15999192006724,0.604993420859994,2.9268996216584e-06
"15",15,289455322.078028,3.77192931102346,5.73479865140146,9.68337115233547,3576739.48441138,2024512.22669779,295056583.295865,100,98.1016315056355,1.27837490317618e-06,1.94362674011274e-06,1.21222154898501,0.686143723377875,3.28186920765146e-06
"16",16,289067096.312673,4.12642785959473,6.49021636705374,10.8272149139774,3720271.73568227,2273246.63868554,295060625.303685,100,97.9687127061283,1.39850169955672e-06,2.19962130168124e-06,1.26084994629604,0.770433749452625,3.66948822901523e-06
"17",17,288680270.754258,4.51151014323786,7.31516610360707,12.0755616884292,3853914.61656203,2530470.16938061,295064667.366877,100,97.836272072291,1.52899030015964e-06,2.47917386005135e-06,1.30612541682944,0.857598502715434,4.09251361614732e-06
"18",18,288294890.512849,4.92958698048996,8.21560030202749,13.4371773508578,3978349.8728305,2795455.95457545,295068709.485442,100,97.7043248725336,1.6706573154051e-06,2.78430075366322e-06,1.34827914480264,0.947391527705643,4.5539147049141e-06
"19",19,287910996.802818,5.38324073390274,9.19793620097965,14.9214984636771,4094212.25260837,3067528.02277682,295072751.65938,100,97.5728850541817,1.82437744713105e-06,3.11717573013905e-06,1.38752637428703,1.03958362997809,5.05688796398994e-06
"20",20,287528627.215671,5.87523608196408,10.2690885413172,16.538678425102,4202092.74624522,3346057.78245168,295076793.888692,100,97.4419653360241,1.99108713516127e-06,3.48014101888029e-06,1.42406750828068,1.13396168446708,5.60487261880059e-06
"21",21,287147815.974028,6.4085313645285,11.4365042946495,18.2996364025533,4302541.60285863,3630460.75145644,295080836.173379,100,97.3115772944708,2.17178839793007e-06,3.87571908869398e-06,1.45808913199995,1.23032752602182,6.20156721794062e-06
"22",22,286768594.168076,6.98629052560114,12.708199521525,20.2161091918364,4396071.13892146,3920193.51195385,295084878.513442,100,97.1817314437593,2.36755287522566e-06,4.30662512614862e-06,1.48976496561521,1.32849691644747,6.85094718973053e-06
"23",23,286390989.975681,7.61189567791807,14.0927984690018,22.3007061484375,4483158.35323286,4214750.87527291,295088920.908881,100,97.0524373106215,2.57952608131584e-06,4.77578027178915e-06,1.51925675129538,1.4282985827768,7.55728343841268e-06
"24",24,286015028.8673,8.28896031429469,15.5995750214084,24.5669673424397,4564247.36159036,4513663.24227131,295092963.359697,100,96.9237035037899,2.80893187689841e-06,5.28632565270412e-06,1.54671507908065,1.52957332187195,8.32516203122549e-06
"25",25,285640733.796736,9.0213431913346,17.2384966227305,27.0294250944732,4639751.66359702,4816494.14571791,295097005.865891,100,96.7955377787018,3.05707716852756e-06,5.84163725150253e-06,1.57228015580259,1.63217316678123,9.15950502959591e-06
"26",26,285268125.378742,9.81316291265509,19.0202707979255,29.7036690617228,4710056.25357776,5122837.96171098,295101048.427464,100,96.6679470977415,3.32535684469693e-06,6.44534165475888e-06,1.59608252111497,1.73596061044499,1.00655925216152e-05
