"","time","S","I","R","Itotal","V1","V2","N","N_per","S_per","I_per","R_per","V1_per","V2_per","Itotal_per"
"1",1,2.95e+08,1,0,1,0,0,295000001,100,99.9999996610169,3.38983049698363e-07,0,0,0,3.38983049698363e-07
"2",2,294599943.869135,1.10494226671333,0.209753517932267,1.31526925723535,390027.91969783,14069.1291646776,295004042.232694,100,99.8630193808532,3.74551568294028e-07,7.11019131618601e-08,0.132211042515202,0.00476913097806982,4.45847876280248e-07
"3",3,294200035.60751,1.22038568195534,0.440307703814857,1.66306248919064,753173.74180398,54872.5107417013,295008083.520749,100,99.7260929586757,4.13678726152432e-07,1.49252758961735e-07,0.255306136976076,0.0186003414166927,5.63734549014034e-07
"4",4,293800418.124545,1.34731551669058,0.693738701786338,2.04656235143867,1091290.64358958,120414.054977638,295012124.864166,100,99.5892688342287,4.56698353435788e-07,2.35155996420744e-07,0.369913827810315,0.0408166461066916,6.93721436832802e-07
"5",5,293401223.629185,1.48680263189001,0.97231609624876,2.46924259388782,1406104.0495756,208836.125066378,295016166.262946,100,99.4525918175205,5.03973273981478e-07,3.29580615383002e-07,0.476619321370459,0.0707880275551554,8.36985520206035e-07
"6",6,293002574.372164,1.64001026069264,1.27851957875241,2.93489263011382,1699220.43778588,318409.988610127,295020207.71709,100,99.3161033406699,5.55897602195892e-07,4.33366781430258e-07,0.575967473867197,0.107928196198501,9.94810712399824e-07
"7",7,292604583.337174,1.80820127243284,1.61505692500739,3.44764399505019,1972135.54024973,447526.925915679,295024249.226597,100,99.1798416924145,6.1289920309026e-07,5.47431924406636e-07,0.668465573734925,0.151691573519419,1.16859682012179e-06
"8",8,292207354.884315,1.99274594722975,1.98488337066534,4.01199881565705,2226241.9775313,594689.951994166,295028290.79147,100,99.0438422364218,6.75442325169505e-07,6.7277730055667e-07,0.754585931931808,0.201570483426791,1.3598691857293e-06
"9",9,291810985.349138,2.19513029242707,2.39122248348362,4.63286043154157,2462836.36679584,758506.109422077,295032332.411709,100,98.9081376145326,7.44030416762537e-07,8.10495061316445e-07,0.834768293584525,0.257092537357433,1.57028905736221e-06
"10",10,291415563.600373,2.41696493392859,2.83758863569563,5.31556631105852,2683125.94003605,937679.292351671,295036374.087314,100,98.772757935986,8.1920913697689e-07,9.61775863899366e-07,0.909422083407925,0.317818199621099,1.80166473625568e-06
"11",11,291021171.559143,2.65999461613275,3.32781118371768,6.06592341274374,2888234.70556176,1131003.5657756,295040415.818286,100,98.6377309535726,9.01569572682214e-07,1.12791705993502e-06,0.978928496135462,0.383338520805291,2.05596355194934e-06
"12",12,290627884.682506,2.92610834896593,3.86606047847549,6.89024616432351,3079209.1865069,1337356.94344522,295044457.604627,100,98.5030822276826,9.91751674551721e-07,1.31033150389023e-06,1.04364244341549,0.453273026818671,2.3353247236919e-06
"13",13,290235772.413419,3.217350235576,4.45687581508705,7.7953972109321,3257023.76131962,1555695.59737099,295048499.446336,100,98.3688352789633,1.09044792351543e-06,1.51055701806668e-06,1.10389436564886,0.527267754382849,2.64207315934848e-06
"14",14,289844898.599793,3.53593102381542,5.10519546292294,8.78883112883472,3422585.63760403,1785048.46489114,295052541.343415,100,98.2350117304835,1.1984072422206e-06,1.73026656190734e-06,1.15999191941222,0.60499342143049,2.9787342582504e-06
"15",15,289455321.884551,3.88424042143316,5.81638890710461,9.87864128706859,3576739.48229422,2024512.22838963,295056583.295864,100,98.1016314400629,1.31643916500527e-06,1.97127914996301e-06,1.21222154826747,0.686143723951274,3.34804977971392e-06
"16",16,289067096.068838,4.26486021914249,6.59629144923416,11.0736100619495,3720271.73341054,2273246.64028417,295060625.303684,100,97.9687126234896,1.44541828132879e-06,2.23557156853615e-06,1.26084994552612,0.770433749994425,3.75299484658526e-06
"17",17,288680270.450126,4.68057826634624,7.45124131726398,12.3832626124237,3853914.61416864,2530470.17076167,295064667.366876,100,97.8362719692183,1.58628896781007e-06,2.52529094173085e-06,1.3061254160183,0.857598503183489,4.19679615418901e-06
"18",18,288294890.136978,5.13440334691845,8.38811944590449,13.8179244395,3978349.87034104,2795455.95559913,295068709.485441,100,97.7043247451498,1.74007042490955e-06,2.84276820152574e-06,1.34827914395896,0.947391528052572,4.68295146021975e-06
"19",19,287910996.342082,5.62958100482237,9.41439209780588,15.3887829651281,4094212.25004865,3067528.02327489,295072751.659379,100,97.572884898039,1.90786203509599e-06,3.19053251947625e-06,1.38752637341955,1.03958363014689,5.21525043521888e-06
"20",20,287528626.655061,6.16961037107351,10.5381565039712,17.1079533767334,4202092.74363653,3346057.7822272,295076793.888691,100,97.4419651460365,2.0908490599233e-06,3.57132676043186e-06,1.42406750739661,1.13396168439101,5.79779695694634e-06
"21",21,287147815.296431,6.75826204596278,11.7681897117955,18.988548997018,4302541.6002198,3630460.75027518,295080836.173378,100,97.3115770648401,2.2903086942562e-06,3.98812402201576e-06,1.45808913110569,1.23032752562151,6.43503293648694e-06
"22",22,286768593.354037,7.39959709271471,13.1140008390084,21.0447564518456,4396071.13626912,3920193.50953677,295084878.513441,100,97.1817311678934,2.50761649664731e-06,4.44414532695585e-06,1.48976496471638,1.32849691562837,7.13176376839893e-06
