"","Year","US_Population","CDC_cases","95%LL_cases","95%UL_cases","Classical_SIR_cases","Classical_SIR_proportion","Model_A_cases","Model_A_proportion","Model_B_cases","Model_B_proportion","CDC_proprotion","95%LL_proportion","95%UL_proportion"
"1",2010,309300000,2.1e+07,2e+07,2.5e+07,85464964.1023601,27.3966127865948,40753768.8687766,13.0620658678644,41157293.9770602,13.1913481897953,6.78952473326867,6.46621403168445,8.08276753960556
"2",2011,311600000,9300000,8700000,1.2e+07,86332860.2228569,27.4038252042296,41597408.1189855,13.2061954797274,42226283.3126361,13.4079342914114,2.98459563543004,2.79204107830552,3.85109114249037
"3",2012,313900000,3.4e+07,3.2e+07,3.8e+07,87226080.2568378,27.4171150949061,41505862.6472081,13.0425996845515,41910151.2549862,13.1691587635235,10.8314749920357,10.1943294042689,12.1057661675693
"4",2013,316100000,3e+07,2.8e+07,3.3e+07,87757889.2017945,27.3110168522821,41589193.2507553,12.9371282556533,41913129.9130352,13.0363596179758,9.49066751028156,8.85795634292945,10.4397342613097
"5",2014,318400000,3e+07,2.9e+07,3.3e+07,88152787.4653355,27.1602878498444,41853657.3055515,12.8906571089026,42236758.8548558,13.007947934935,9.42211055276382,9.10804020100502,10.3643216080402
"6",2015,320700000,2.4e+07,2e+07,3.3e+07,88560284.0166999,27.0137900105281,42087770.802843,12.8341644922845,42497036.8955885,12.9586489707918,7.48362956033676,6.2363579669473,10.289990645463
"7",2016,323100000,2.9e+07,2.5e+07,4.5e+07,88998887.1977285,26.8773564385722,42288290.2687531,12.766815322478,42685878.8599894,12.886295982258,8.97554936552151,7.73754255648406,13.9275766016713
"8",2017,325100000,4.5e+07,3.9e+07,5.8e+07,89449100.9975643,26.7446015935824,42495531.5090506,12.7016346218758,42888483.4194366,12.8184134180696,13.8418948015995,11.9963088280529,17.8406644109505
"9",2018,327200000,3.6e+07,3.1e+07,4.5e+07,89900018.8540325,26.6120116349972,42710495.4373389,12.6388990861761,43108599.8003756,12.7561013904147,11.0024449877751,9.47432762836186,13.7530562347188
"10",2019,328200000,3.8e+07,3.4e+07,4.7e+07,90350910.1687813,26.4793597903209,42925509.9613069,12.5761504152132,43327335.5821975,12.6933108745138,11.5783059110299,10.3595368677636,14.320536258379
